cohort,program,variant,model,outcome,cells,r,ci_low,ci_high,p,p_signflip,patients,positive_patients,negative_patients,loo_min,loo_max,q
GSE132465,Troph_MMPplus,source,unadjusted,common_SenMayo,1435,0.39817603707207494,0.30725540188406086,0.4816823238005462,2.6198427604944457e-06,5.999880002399952e-05,15,15,0,0.3695490450066511,0.4146576852586736,7.859528281483338e-06
GSE132465,Troph_MMPminus,source,unadjusted,common_SenMayo,1435,0.2424129055246844,0.15919299486218527,0.32676258538836883,0.00012994436739554408,0.0002799944001119978,15,14,1,0.22079493011719137,0.2638951716205002,0.00012994436739554408
GSE132465,Telocyte_CAF,source,unadjusted,common_SenMayo,1435,0.3461740955553708,0.25813319434069953,0.4313418948670074,8.606326484938392e-06,0.0001399972000559989,15,14,1,0.3179708106090323,0.37317922202592474,1.2909489727407588e-05
GSE132465,Troph_MMPplus,source,subtype_adjusted,common_SenMayo,1435,0.26601537127405495,0.16635725406633706,0.3613110694735869,0.0002353906095894519,0.0005599888002239956,15,14,1,0.23747888267329134,0.2960478835457848,0.0007061718287683557
GSE132465,Troph_MMPminus,source,subtype_adjusted,common_SenMayo,1435,0.061309953263890625,-0.028548174930413363,0.13661936569808175,0.18427827871338898,0.1880162396752065,15,13,2,0.04282319503625902,0.09611641588252805,0.18427827871338898
GSE132465,Telocyte_CAF,source,subtype_adjusted,common_SenMayo,1435,0.16429462376066747,0.09061942937561027,0.238911509360533,0.0009966860728167976,0.0013799724005519889,15,13,2,0.14215844620575185,0.18385997336855955,0.0014950291092251963
GSE132465,Troph_MMPplus,purged,adjusted,source_specific_SenMayo,1435,0.031604900942915085,-0.05458599746383615,0.10882585962131594,0.4819246454713623,0.4829503409931801,15,9,6,0.0092469809723597,0.06018711264051354,0.4819246454713623
GSE132465,Troph_MMPminus,purged,adjusted,source_specific_SenMayo,1435,-0.05595629452118528,-0.14422263967106058,0.011342254453502239,0.18755806981358222,0.1867962640747185,15,3,12,-0.06951029390067104,-0.022107914065411186,0.2813371047203733
GSE132465,Telocyte_CAF,purged,adjusted,source_specific_SenMayo,1435,0.08059530292301248,-0.015334948474350029,0.1744399883589958,0.1327798992248995,0.13543729125417492,15,12,3,0.04917710522232475,0.11262724194483871,0.2813371047203733
GSE166555,Troph_MMPplus,purged,adjusted,common_SenMayo,1315,0.20621192769159571,0.06806974551420054,0.33116792452829324,0.02088273227323512,0.025599488010239795,10,8,2,0.16911884185889817,0.24431654147679263,0.03132409840985268
GSE166555,Troph_MMPminus,purged,adjusted,common_SenMayo,1315,0.1577133118737364,0.027877712900827675,0.2885721038257146,0.05339272975911674,0.051438971220575586,10,8,2,0.11306520828959096,0.1930770366611965,0.05339272975911674
GSE166555,Telocyte_CAF,purged,adjusted,common_SenMayo,1315,0.40897345571203725,0.33914206436176314,0.48224031777305393,5.525202485420063e-06,0.002239955200895982,10,10,0,0.3796167679012776,0.4269331622717535,1.657560745626019e-05
GSE166555,Troph_MMPplus,purged,unadjusted,common_SenMayo,1315,0.3829040106688699,0.23312324721228006,0.49876824634639816,0.0009423003521448055,0.007799844003119938,10,8,2,0.35338314825196404,0.42805599768018515,0.0014134505282172082
GSE166555,Troph_MMPminus,purged,unadjusted,common_SenMayo,1315,0.31703350983638073,0.1576279607758571,0.450130984674953,0.004227303471424348,0.01123977520449591,10,8,2,0.28790054240341556,0.36310048405027806,0.004227303471424348
GSE166555,Telocyte_CAF,purged,unadjusted,common_SenMayo,1315,0.46378688545210955,0.38173020260830404,0.5403479595710136,6.2200949554119735e-06,0.0017799644007119857,10,10,0,0.4383348083071,0.4859655288880669,1.866028486623592e-05
GSE166555,Troph_MMPplus,purged,subtype_adjusted,common_SenMayo,1315,0.13913643183860303,0.07083203746274458,0.21094699693264987,0.004922645748873794,0.006499870002599948,10,9,1,0.11496272017291372,0.15674432321901605,0.0128769509729686
GSE166555,Troph_MMPminus,purged,subtype_adjusted,common_SenMayo,1315,0.031146473906076718,-0.07276108860510712,0.13148563021486595,0.5931749718413699,0.5856082878342433,10,6,4,0.0013689521366519785,0.06181088455464533,0.5931749718413699
GSE166555,Telocyte_CAF,purged,subtype_adjusted,common_SenMayo,1315,0.2301115968255773,0.10832649814929633,0.3520558515287172,0.008584633981979067,0.012159756804863902,10,9,1,0.19472224646616068,0.2713750657290921,0.0128769509729686
GSE166555,Troph_MMPplus,source,adjusted,common_SenMayo,1315,0.290089200037566,0.166518347910444,0.4032821958194911,0.0023258112661686866,0.005719885602287954,10,9,1,0.2556472781997045,0.32889315520411466,0.00348871689925303
GSE166555,Troph_MMPminus,source,adjusted,common_SenMayo,1315,0.20566368816564334,0.08312910046302388,0.32420267312546586,0.01481178127705673,0.01773964520709586,10,8,2,0.16090568276923173,0.2379220782878112,0.01481178127705673
GSE166555,Telocyte_CAF,source,adjusted,common_SenMayo,1315,0.4693946243478565,0.40676769935766555,0.5355734890293241,1.2715576627066207e-06,0.0022999540009199814,10,10,0,0.4422593304316074,0.48418726374479865,3.814672988119862e-06
GSE166555,Troph_MMPplus,source,unadjusted,common_SenMayo,1315,0.4422090123680083,0.3185928839485188,0.5398298471973504,0.0001326449233696404,0.0019399612007759844,10,10,0,0.42226037175536013,0.48194104835777535,0.00019896738505446057
