draw,r,mean_fisher_z
123,0.08979015258912779,0.09003263082572005
124,0.11335275820185735,0.11384201975796389
125,0.16433596221940752,0.16583977517622359
126,0.23477671304568024,0.23923888197632723
127,0.16524841757328337,0.16677770136289904
128,0.13002798467185742,0.13076831587713794
129,0.1286104957425724,0.1293267181801413
130,0.10412438858662748,0.10450315726066144
131,0.11311605063064122,0.11360223769265275
132,0.09362840630888616,0.09390344529985048
133,0.11815855909449129,0.11871309995307042
134,0.10649200225550715,0.106897322955183
135,0.10439021989344228,0.1047719097978059
136,0.1979084002686528,0.20055474986750174
137,0.06701952165513132,0.06712013493596977
138,0.007443281760153958,0.007443419223388845
139,0.22172296944369296,0.2254674351221748
140,0.1766619148037547,0.17853495520499904
141,0.13240296585981207,0.13318490592198984
142,0.1314405735581727,0.13220546803580724
143,0.08014981996928366,0.08032211185088396
144,0.20482179120142308,0.2077603461620318
145,0.051208375252663994,0.05125320701264496
146,0.17261578267439423,0.17436153258638337
147,0.07276614103420444,0.07289498068629686
148,0.14501667594679973,0.14604625765637555
149,0.13717022423256767,0.13804038574248192
150,0.06795873126475571,0.06806364208578278
151,0.11546229779238312,0.11597953834022207
152,0.19309428163487707,0.1955493081726066
153,0.007816339135344335,0.007816498321336466
154,0.11098209447661277,0.11144114820990758
155,0.20592144796337705,0.2089084262086686
156,0.06911631003272194,0.06922668425072773
157,0.05120554652609032,0.05125037084921728
158,0.11893747284231582,0.11950311634280103
159,0.10227930563311725,0.10263821091815414
160,0.009050818666793867,0.009051065818540175
161,0.24335140213200215,0.24833340717869407
162,0.009682657811007979,0.00968296042355314
163,0.2333267543422674,0.2377048905639456
164,0.12640285556668562,0.12708259213834974
165,0.16357619797344544,0.16505902302447872
166,0.22346911307714815,0.22730460946694056
167,0.05274826476557455,0.052797268495526704
168,0.18194038992357867,0.18398877912794634
169,0.10874302982913313,0.1091747273624554
170,0.13878522622283984,0.13968673099674686
171,0.12333307030534399,0.12396418199657117
172,0.003112627526946976,0.0031126375791842575
173,-0.013142701623740743,-0.013143458417780375
174,0.23110804448349068,0.23535971618143706
175,0.17562571147847225,0.17746557241378175
176,-0.015602259343155013,-0.015603525550013564
177,0.11137941463180515,0.11184344117848234
178,0.12832271305889942,0.12903410632527715
179,0.08761507137658309,0.0878402991193245
180,0.11879679578881218,0.119360423120052
181,0.15831323023296998,0.1596560881788955
182,0.11343245188437488,0.11392275147954707
183,0.20613245915878398,0.20912879126380257
184,0.02987461106512361,0.029883503448413187
185,0.13847522029712067,0.13937065052673683
186,0.0536407270492877,0.05369226336548574
187,0.18852122992395373,0.1908034620761847
188,0.11058608384054512,0.11104021689240938
189,0.06639140468891645,0.0664892105757354
190,0.06308062369168523,0.0631644934269636
191,0.1617895413030526,0.16322379519411806
192,0.1372581231999721,0.1381299714045583
193,0.22997631977416888,0.23416446402506225
194,0.09086374515761518,0.09111505495426578
195,0.12434132584641265,0.12498814070380329
196,0.20123211710244246,0.20401633961049537
197,0.026584386567236593,0.026590651881890717
198,0.1210267780365523,0.12162293870204573
199,0.12013983658070355,0.12072291047264677
200,0.23449264913782408,0.2389382682480588
201,0.15085444693374267,0.15201466529586327
202,0.2576421756651107,0.2635812938887368
203,0.1167112910172063,0.11724559327705583
204,0.13186104124869835,0.13263335178647415
205,0.13819314903350913,0.13908307613787776
206,0.04347538667291808,0.04350280885497402
207,0.12195803499832247,0.12256814739925002
208,0.054123121468805956,0.054176062389702545
209,0.13228909086491006,0.13306900079402004
210,0.13371254536817012,0.13451808879254196
211,0.14272633300896767,0.14370750371907562
212,0.09945398200230471,0.09978384476137993
213,0.03712967622200778,0.03714675283245295
214,0.1520668091350055,0.1532554926420579
215,0.12335193804706074,0.12398334121462562
216,0.19126636998326982,0.19365129610481027
217,0.03687614436463333,0.03689287335803258
218,0.04602550196851853,0.04605804266344955
219,0.0853195789492792,0.08552751387961958
220,0.03810584954310523,0.03812430956832686
221,0.07736175439317913,0.07751664356797176
222,0.1693449239973333,0.17099216963959565
223,0.1934189907307138,0.19588661505218813
224,0.15534801102001683,0.1566160953251652
225,0.06797172491050307,0.06807669603125814
226,0.11823309985109105,0.1187886968171073
227,0.015016762923099516,0.015017891851723844
228,0.160612631291819,0.162015486163536
229,0.14437955508266848,0.14539551174682222
230,0.11125283099332756,0.11171526932662329
231,0.13426072491710234,0.13507628940746305
232,0.04739012060994593,0.047425645107305285
233,0.06644232767056375,0.06654035918414113
234,0.10068684227152253,0.1010291760510748
235,0.03382617306476276,0.03383908334414754
236,0.13035417781878245,0.13110013323777756
237,0.12191084341876762,0.12252024358542417
238,0.020092916948195393,0.02009562160977436
239,0.023326603375863824,0.02333083566256935
240,0.20859240236366386,0.21169926422132873
241,0.18510310069817304,0.18726172663934493
242,0.07525177045341024,0.07539430101168525
243,-0.06551953327077362,-0.06561352978120882
244,0.015820761848820843,0.01582208200755343
245,-0.002446824982253947,-0.0024468298652797972
246,0.06903142050027626,0.06914138775167054
247,0.22500668675677354,0.22892359014900932
248,0.10883590125120371,0.10926871109597494
249,0.19608361667692265,0.1986562913738207
250,0.12543485390215367,0.12609899490916948
251,0.052089844054994804,0.05213703359558903
252,0.05739105709552639,0.05745419219388278
253,0.10006361972880101,0.10039961049645595
254,0.25092644638308415,0.256401265880027
255,0.05226162675750155,0.05230928522039084
256,0.09395441710295332,0.0942323494101199
257,0.03459828803893418,0.0346121031585991
258,0.136136075843399,0.13698655798479276
259,0.17211285008184118,0.17384320062000932
260,0.1631712677232498,0.16464298839748734
261,0.10914507785638776,0.10958160454211836
262,0.16641727381714735,0.1679796109119511
263,0.13779909934218934,0.13868137691057308
264,0.1013435492171039,0.10169265318848571
265,0.0982964589441444,0.098614893538928
266,0.15848120294612028,0.15982838373249167
267,0.19717478243901101,0.19979134176783728
268,0.1296311975439488,0.13036472594355514
269,0.08217559504922504,0.08236132070066514
270,0.20470102744073287,0.20763429753060209
271,0.11331441041122416,0.11380317300009248
272,0.11349556992710338,0.1139866927068872
273,0.10103410635197815,0.10138000910203869
274,0.16247963223884068,0.16393251676747156
275,0.30857254609794116,0.3189669641103849
276,-0.0019291528797064463,-0.00192915527291007
277,0.022482811651662504,0.02248660098102415
278,0.20019040163923119,0.20293089696521874
279,0.16100196055245808,0.16241515034027912
280,0.15512051270704919,0.1563829794605026
281,0.17208358352884723,0.17381304079959775
282,0.05138771766993808,0.05143302261328383
283,0.0727936641328733,0.07292265034879628
