gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
MIB2,0.11980919300092581,0.13536121673003804,0.3465108852634907
MMP23B,0.3331944109232257,0.2904942965779468,0.5778234917622249
FO704657.1,0.0,0.0,0.0
AL109917.1,0.00048539776026911203,0.0007604562737642585,0.017601944385824696
CALML6,0.0002792854879104848,0.0007604562737642585,0.010127709743124443
GABRD,0.01341114328138131,0.01064638783269962,0.14478103039322124
PRKCZ,0.059350216549802194,0.06920152091254753,0.24119306992013603
SKI,0.39412184148085305,0.39011406844106467,0.5635777642197067
RER1,0.7154004762894663,0.6022813688212928,0.6599837984653691
PLCH2,0.0016086851354494875,0.0022813688212927757,0.03550722798176284
AL139246.5,0.025547638134540276,0.024334600760456272,0.178263859163557
TNFRSF14,0.01538512549892799,0.018250950570342206,0.11883416622668658
AL139246.3,0.00331733937536819,0.003041825095057034,0.06964987429501052
FAM213B,0.05042384393875135,0.060836501901140684,0.21637900698231335
PRDM16,0.042063796298486375,0.034220532319391636,0.2447464084835154
ARHGEF16,0.007825629891732007,0.0076045627376425855,0.09680099323765676
AL512413.1,0.0,0.0,0.0
TPRG1L,0.16716602492670166,0.19695817490494297,0.37838017093936827
TP73,0.002030931311643147,0.0022813688212927757,0.043323889387037524
SMIM1,0.04546296781498374,0.05171102661596958,0.21643900337508953
AL365330.1,0.0,0.0,0.0
DFFB,0.02697201167180122,0.03650190114068441,0.15071940814284382
LINC01134,0.0016365833112144093,0.001520912547528517,0.04263091099133078
LINC01346,0.0,0.0,0.0
AJAP1,0.00837497936724436,0.008365019011406844,0.09627158297369293
KCNAB2,0.018238545007113006,0.025095057034220533,0.11996464225245987
RNF207,0.03933274910364297,0.04638783269961977,0.19831691193885667
LINC00337,0.0011323582341347658,0.0007604562737642585,0.041062625940054526
AL031848.2,0.011111979004980635,0.013688212927756654,0.10105211473223852
ESPN,0.00031424308981693657,0.0007604562737642585,0.011395374769592674
TAS1R1,0.0,0.0,0.0
ZBTB48,0.04352162374287236,0.05475285171102662,0.19883052270079868
PHF13,0.09135161480525798,0.10874524714828897,0.29656058982897443
THAP3,0.012495673986863784,0.012927756653992395,0.12397565466672812
CAMTA1,0.16901644781275355,0.18935361216730037,0.3886881111785968
VAMP3,0.3391922742794012,0.34980988593155893,0.5192212715140404
PER3,0.31938559292256313,0.2889733840304182,0.5679387393296833
PARK7,1.4383952270383498,0.823574144486692,0.7710724404877899
AL034417.4,0.003370971015719162,0.0038022813688212928,0.05852322986903046
AL034417.2,0.029809985555073082,0.03193916349809886,0.18587195937495823
SLC45A1,0.027886776490455987,0.03269961977186312,0.1725848213295783
AL096855.1,0.0,0.0,0.0
ENO1-AS1,0.012769627223255439,0.012927756653992395,0.12235244082576127
CA6,0.0,0.0,0.0
H6PD,0.1287249710027996,0.1467680608365019,0.347505237626586
SPSB1,0.2638956677965204,0.2813688212927757,0.47037934456041525
SLC25A33,0.08713666309698355,0.10798479087452471,0.2800264877146206
TMEM201,0.01522507922579329,0.018250950570342206,0.12689855542883027
PIK3CD,0.019660367209021416,0.02129277566539924,0.14900810586832416
NMNAT1,0.00959298893369965,0.012927756653992395,0.09182966779324654
RBP7,0.0017826743079198115,0.0022813688212927757,0.04429024431505232
UBE4B,0.11806737683567398,0.13079847908745248,0.34646791015365624
KIF1B,0.13374300616763976,0.15285171102661596,0.35328104801965193
AL139424.2,0.004545030101804154,0.00532319391634981,0.06329499979494019
PGD,0.13109004632995638,0.1688212927756654,0.319802453606086
CENPS-CORT,0.0003747381879155024,0.0007604562737642585,0.013589104200391049
CENPS,0.005695274455187823,0.0045627376425855515,0.09712558246240433
CORT,0.0006467178083875369,0.0007604562737642585,0.023451881793291912
AL354956.1,0.000819451203154877,0.001520912547528517,0.021190997595802265
PEX14,0.057678707134340326,0.0699619771863118,0.23705593463624103
AL139423.1,0.0,0.0,0.0
TARDBP,0.00035499862721358194,0.0007604562737642585,0.01287328991751677
AL109811.1,0.001991014342702363,0.003041825095057034,0.036496663779638186
AL109811.2,0.0007606849019412375,0.0007604562737642585,0.027584662384273897
ANGPTL7,0.0006643835480072397,0.0007604562737642585,0.024092493250065145
UBIAD1,0.000742927002873856,0.001520912547528517,0.020256947058575076
DISP3,0.0,0.0,0.0
LINC01647,0.0006092214060099101,0.0007604562737642585,0.022092152426280452
AL031731.1,0.0021480877287366976,0.0022813688212927757,0.049971388228220434
FBXO44,0.011813152190935582,0.01596958174904943,0.1020178213820079
FBXO6,0.0840680547618918,0.10342205323193916,0.2743639650965272
DRAXIN,0.00278740294761306,0.0045627376425855515,0.04224402701797429
AGTRAP,0.0076437705309095015,0.008365019011406844,0.08851834761548322
C1orf167,0.061785354236021744,0.06920152091254753,0.24746399552920145
CLCN6,0.011740281250085818,0.013688212927756654,0.1079078895397574
NPPA-AS1,0.0023838949711752436,0.0022813688212927757,0.051806667129917876
