"sample","FAP13","matrix4","fib5","SenMayo"
"TCGA-A6-6654-01",1.44966473214678,1.66564040658592,1.34139492997123,0.734860092683433
"TCGA-A6-6780-01",-0.531658430968769,-0.408522282327342,-1.22192540187651,-0.0575180582751168
"TCGA-A6-6781-01",1.75870079111969,2.18829743811618,1.52966662048444,0.685956658278281
"TCGA-A6-6782-01",0.6404124245723,0.887294400321314,0.916779908202827,0.471252157936499
"TCGA-A6-A565-01",0.491282392037824,0.381929254679813,0.504859817172641,0.49708479960037
"TCGA-A6-A566-01",2.007737800939,2.04398688681867,1.56108481373643,0.705247667618807
"TCGA-A6-A567-01",-0.0628070473306913,-0.150631524993117,-0.151321963878208,-0.528896801215197
"TCGA-A6-A56B-01",0.420428848300364,0.77683213722388,0.545593247962336,-0.435676378639995
"TCGA-A6-A5ZU-01",0.463816863527069,0.95411920544012,0.456771889732417,-0.144824717034321
"TCGA-AA-3489-01",1.26665871681431,1.51772316730263,1.68520950771982,0.672798905567119
"TCGA-AA-3492-01",0.0602687014358511,-0.319953895263198,-0.0848957324301069,-0.0405008616772847
"TCGA-AA-3495-01",-0.190145407621509,-0.730962240351038,-0.180276042133224,0.148701120903008
"TCGA-AA-3496-01",0.543337466731727,0.797532377384887,0.709051865454387,0.205591788545681
"TCGA-AA-3502-01",-1.38014901924112,-2.64535175270837,-1.47011283998367,-0.383928599816845
"TCGA-AA-3506-01",0.388029630333276,0.0817784748738993,0.181589043919198,0.374743917055779
"TCGA-AA-3509-01",-0.0788290620179249,-0.446529139863958,-0.0170822526367821,0.00129196320041479
"TCGA-AA-3511-01",0.559951766629718,0.671945619553962,0.772578336778528,0.0958906417714877
"TCGA-AA-3526-01",0.213838909368199,0.299761700333978,0.0946923921495443,0.249484482128257
"TCGA-AA-3655-01",-0.0219008110499286,0.276622525596587,0.215972881912731,0.09527228167002
"TCGA-AA-3660-01",-0.212357999382442,-0.115500114772203,0.0828020055077385,-0.10526182297263
"TCGA-AA-3662-01",0.128061145549394,-0.113482841186974,0.407430382686028,0.268024830657774
"TCGA-AA-3663-01",-0.338212538352167,-1.06228656085445,-0.645522653349248,0.204226178371946
"TCGA-AA-3675-01",0.0818877326414565,-0.147008558135599,0.0312536949442939,0.0711496031696573
"TCGA-AA-3685-01",0.199454062543858,-0.718951369221279,0.0685852985631821,0.545470005627172
"TCGA-AA-3697-01",-0.387771409094775,-0.613834060458273,-0.234107577077248,0.191898093957711
"TCGA-AA-3712-01",0.588631491577287,0.938506878979954,0.51981691526657,0.128001967714333
"TCGA-AA-3713-01",-0.12106617033119,-0.379303057699986,-0.23686292979734,0.236757304396073
"TCGA-AA-A01P-01",0.659235509758951,0.941702713281071,0.482273347719143,0.385552590164169
"TCGA-AA-A01X-01",-0.577590040063416,-0.273260770714924,-0.383001582208114,-0.347051401505795
"TCGA-AA-A01Z-01",-0.926496396549079,-0.644802966814876,-0.795371930792927,-0.536896236430795
"TCGA-AA-A02K-01",-0.798461595797102,-1.00405333691891,-1.20290648027205,-0.39532277407767
"TCGA-AA-A02Y-01",-2.19866693771766,-3.21232133063147,-2.61459570767261,-0.424752121977102
"TCGA-AD-5900-01",0.383170894246468,0.162270246672481,0.346044107079152,0.0642229894599553
"TCGA-AD-6548-01",0.45406973046117,0.635797574373163,0.458034616220752,0.459845916732764
"TCGA-AD-6888-01",-1.79057415111075,-1.87890680077255,-2.21064194564231,-0.746781224446096
"TCGA-AD-6889-01",-0.240121840268334,-0.36189542681099,-0.825243664501156,0.164982504693515
"TCGA-AD-6890-01",0.115563146455225,0.467514879926399,-0.0253025963742936,-0.0579959714804799
"TCGA-AD-6895-01",0.248842656191458,0.523877925197021,-0.0560314932934435,0.337059123566819
"TCGA-AD-6899-01",0.894347724574775,0.851401096495787,0.968167062213999,0.369394533024977
"TCGA-AD-6901-01",0.805027913616434,1.16834151414653,1.09302317338273,0.299066338493276
"TCGA-AD-6963-01",-0.711370499311736,-0.788585448483891,-0.43417393541754,0.0784379690038685
"TCGA-AD-6964-01",0.867279302920009,1.17994955319807,1.0680576311487,0.324824886272175
"TCGA-AD-6965-01",-0.16735660770311,-0.159744669186852,0.0157907140016036,-0.369155591520369
"TCGA-AD-A5EJ-01",0.00238215253572727,0.303411990188881,-0.556927715799663,0.0246139307615263
"TCGA-AD-A5EK-01",-0.270272092282911,-0.223010918263616,-0.102606179112893,-0.413842265746031
"TCGA-AM-5820-01",-0.158374492719752,0.0238979245547957,-0.470114675876081,-0.251621158659516
"TCGA-AM-5821-01",0.189557542800498,0.565933791478114,-0.162674627416,0.576582125299137
"TCGA-AU-3779-01",0.466127330309006,0.457147317528947,0.65928019982016,0.378886432304901
"TCGA-AU-6004-01",0.677634362681022,0.763762512084009,0.573627438491239,0.395619612496169
"TCGA-AY-5543-01",-0.875585294943634,-1.35544705954663,-0.844675524000796,-0.0323984307409457
"TCGA-AY-6196-01",1.45229490988378,1.50843819488946,1.94442675208072,0.660875117583505
"TCGA-AY-6197-01",-0.570549739551478,-0.58902314545678,-0.446362842480573,0.36791540281415
"TCGA-AY-6386-01",-0.55719131475161,-0.373836463183419,-0.53777932597639,-0.0502833993731438
"TCGA-AY-A54L-01",-1.7485295245534,-1.90986049877325,-1.74788379831895,-0.394327132677207
"TCGA-AY-A69D-01",-0.185229959211331,0.191827124854974,-0.339062944677342,-0.137550891584346
"TCGA-AY-A71X-01",-1.92601500463751,-2.38207690781988,-2.06455677688323,-0.588075355326416
"TCGA-AY-A8YK-01",-0.597218207175876,-0.734392456411719,-0.476332694390625,-0.19772323752926
"TCGA-AZ-4313-01",-0.529220766847866,-0.387242083624767,-0.727995333735582,-0.302053899366491
"TCGA-AZ-4315-01",-0.0485090740867981,-0.109408594447207,0.0782664836505321,-0.121711290023826
"TCGA-AZ-4323-01",0.696079184817315,0.377248212774421,0.907829944661872,0.259278401952002
"TCGA-AZ-4614-01",-1.34057668749584,-1.28096363276041,-1.37762465951143,-0.276219445096268
"TCGA-AZ-4615-01",0.37745162208218,0.383604798915767,0.157810759944729,0.0171019605057633
"TCGA-AZ-4616-01",0.0762177539919753,0.00484428163527378,-0.536854619866547,0.254419777105449
"TCGA-AZ-4682-01",-0.390272243171981,-1.00539671115766,-0.2744199441339,-0.0704784225913203
"TCGA-AZ-4684-01",0.537966002553268,0.362500212909651,0.788870693131518,0.440688768611635
"TCGA-AZ-5403-01",0.81209362806513,0.4044968418733,0.65098822341047,0.361731485268851
"TCGA-AZ-5407-01",-1.12594133114912,-1.90176439071262,-1.00707593377309,-0.191483773824105
"TCGA-AZ-6598-01",-0.0691353352978583,0.245718961568791,-0.799504781195051,-0.216007670608594
"TCGA-AZ-6599-01",-2.08022841856845,-3.02281656020427,-1.99709446938935,-0.693849651087503
"TCGA-AZ-6600-01",0.752383116903044,0.968688026886773,0.517578577927159,0.245955196399093
"TCGA-AZ-6601-01",0.230618068061358,0.533631966681078,0.0175238218757619,0.159581688598328
"TCGA-AZ-6603-01",0.447435762212426,0.589969385597032,0.720996726070256,0.060293574212505
"TCGA-AZ-6605-01",1.39210225068499,1.38308966887327,1.62472574482017,0.576734696488181
"TCGA-AZ-6606-01",-1.16747975234353,-0.982798138769697,-0.954446024281909,-0.258045281545954
"TCGA-AZ-6607-01",1.64458099443348,2.23409334905812,1.59451440839642,0.939537980729242
"TCGA-AZ-6608-01",-1.82076900720666,-2.22492978180474,-2.16656272851518,-0.699430736804623
"TCGA-CA-5254-01",0.0736927493388759,0.390731171972598,0.283924099998745,-0.488509966895993
"TCGA-CA-5255-01",-1.09312760913374,-1.08864182540128,-1.34919431130813,-0.236650842504217
"TCGA-CA-5256-01",-0.449806800606755,-0.572082343937412,-0.00264182351187824,-0.148681426865801
"TCGA-CA-5796-01",-1.19922515985649,-1.59443644077557,-0.812419006298364,-0.264546728050909
"TCGA-CA-5797-01",0.0945674485154538,0.141442319852467,0.199431259899234,-0.167994630354045
"TCGA-CA-6715-01",-0.547028317541205,0.29035428690421,-0.722169733782396,-0.433016235889739
"TCGA-CA-6716-01",-0.0291939995068994,0.375696802691833,0.339895091257822,-0.414794045919013
"TCGA-CA-6717-01",0.767467684735707,0.501876596366563,1.07653280528791,0.367043506429552
"TCGA-CA-6718-01",0.17277198867592,0.636308192241297,-0.158344917090228,0.0950280952834505
"TCGA-CA-6719-01",0.737447625855296,0.64541301656901,0.533613948967376,0.272976179297065
"TCGA-CK-4947-01",0.253278145853728,0.0750488375862925,0.790206254216434,0.142025762561453
"TCGA-CK-4948-01",0.673587583031464,0.877946597606531,0.658610081134656,0.354801281681709
"TCGA-CK-4950-01",0.0810170645611571,-0.120269832203085,0.0435540588876191,0.400126207193493
"TCGA-CK-4951-01",0.923985777098851,0.859504664029451,0.859854870802207,0.381270414312056
"TCGA-CK-4952-01",-0.447029883047406,-0.707570476029972,-0.710809556040731,-0.0578049258137992
"TCGA-CK-5912-01",-0.252090165717636,-0.7336330575144,-0.0411101952354175,-0.447368011539028
"TCGA-CK-5913-01",0.355319740041544,0.548496119620431,0.157858576963147,0.362509587412848
"TCGA-CK-5914-01",-0.00246420910221767,0.273452416261575,0.171767425766472,-0.00845629918554768
"TCGA-CK-5915-01",-0.899949597671165,-0.641679362240919,-0.751360612500397,-0.566162052893486
"TCGA-CK-5916-01",0.081434223403078,0.319443273815163,0.0448389420539418,0.0450478274851648
"TCGA-CK-6746-01",-1.03348302225591,-0.768689125754189,-1.88633875423364,-0.280445442926014
"TCGA-CK-6747-01",-0.185728244053831,-0.207465866450575,0.120711605345386,-0.0537054409770056
"TCGA-CK-6748-01",1.13889535272039,1.49056243263014,0.815797447147637,0.486890546001723
