"sample","MCP_full","MCP_FAP13_matrix4_purged","MCP_SenMayo_FAP13_purged","MCP_SenMayo_matrix4_purged","MCP_global_disjoint","EPIC_full","EPIC_FAP13_matrix4_purged","EPIC_SenMayo_FAP13_purged","EPIC_SenMayo_matrix4_purged","EPIC_global_disjoint"
"TCGA-CM-5862-01",11.551275,10.33002,11.4537714285714,10.6473166666667,10.33002,0.0806334128248712,0.0443552932284167,0.0796211689331009,0.0445670103802683,0.0440256358634814
"TCGA-CM-5863-01",13.083175,11.77656,13.0203285714286,12.06765,11.77656,0.303003941338243,0.0523175146156274,0.301717122230943,0.0527470554342763,0.0523274278183074
"TCGA-CM-5864-01",10.69145,9.74998,10.6587142857143,9.94508333333333,9.74998,0.0339847047893959,0.01983369329301,0.0336949395589626,0.0197673586561638,0.0197725117874422
"TCGA-CM-5868-01",12.34535,10.925,12.2314,11.2946666666667,10.925,0.215233300497675,0.0557204284752224,0.213606108092964,0.0555803252280888,0.0552179162876831
"TCGA-CM-6161-01",11.7529125,10.65862,11.7634857142857,10.8286666666667,10.65862,0.104675158341628,0.0348566838879351,0.103742550018492,0.0350062694817457,0.0347861983236701
"TCGA-CM-6162-01",14.1266625,12.87474,14.1694285714286,13.0335,12.87474,0.735167916032336,0.149528862020631,0.740580052422523,0.151127108771469,0.150716847899037
"TCGA-CM-6163-01",11.8597875,10.81122,11.9567857142857,10.8728166666667,10.81122,0.133951600138374,0.0542333091964459,0.133211328603801,0.0545057702237974,0.0538515495606604
"TCGA-CM-6164-01",11.54415,10.22882,11.3789,10.6408333333333,10.22882,0.0909860614692622,0.0319901576768216,0.0902379287291929,0.0323687555263131,0.0319081607281444
"TCGA-CM-6165-01",12.2599875,11.13094,12.2567714285714,11.3228666666667,11.13094,0.167350197944614,0.0620285084152881,0.166328950076916,0.0624085379838332,0.0619919256181527
"TCGA-CM-6166-01",11.3185375,9.92452,11.1954571428571,10.30045,9.92452,0.0914698976819592,0.0342018678278504,0.0903432516613063,0.0343447013216051,0.0340544500493667
"TCGA-CM-6167-01",14.3414375,12.84458,14.0545571428571,13.42875,12.84458,0.613864832618397,0.158139054925743,0.61936184618783,0.158759469590839,0.159318569984059
"TCGA-CM-6168-01",13.4742875,12.21834,13.4513714285714,12.4544,12.21834,0.427270912160058,0.0973953203906474,0.427054665663466,0.0982603313939405,0.0977905709341263
"TCGA-CM-6169-01",13.0521125,11.98298,13.0300142857143,12.18695,11.98298,0.239468348390404,0.0863953445641386,0.239711928158355,0.0876204050392741,0.0870376991939267
"TCGA-CM-6170-01",12.1686,10.94986,12.2960571428571,11.0042833333333,10.94986,0.227589523690652,0.0505341427596732,0.225932697528792,0.0510396415727919,0.0506164556348513
"TCGA-CM-6171-01",10.5995125,9.35282,10.7238857142857,9.4155,9.35282,0.0814131820450562,0.0131330304266345,0.0808269916916228,0.0138900737913006,0.0131515772078714
"TCGA-CM-6172-01",11.94555,10.888,12.0734142857143,10.9150833333333,10.888,0.153340082504275,0.0361686105793571,0.151756438628302,0.0363005746505699,0.0358249297316191
"TCGA-CM-6674-01",12.491925,10.8905,12.3944857142857,11.2710833333333,10.8905,0.337235912499764,0.0367899270745121,0.335080087630837,0.036914065690317,0.0366151087440255
"TCGA-CM-6675-01",11.373575,9.8062,11.3089142857143,10.1428666666667,9.8062,0.170483191424701,0.0241909549384437,0.168895172955403,0.0243218894493685,0.0241616630859037
"TCGA-CM-6676-01",12.2555375,11.0401,12.1259142857143,11.3939,11.0401,0.139925230039576,0.0692350198998405,0.138854236689027,0.0701854064880949,0.0692149278030098
"TCGA-CM-6677-01",12.496375,11.32416,12.5391,11.4696833333333,11.32416,0.217611146429556,0.0454448152063801,0.215714414996712,0.045090649325757,0.0449344614202555
"TCGA-CM-6678-01",11.4889125,10.25624,11.3955571428571,10.5706,10.25624,0.0773026686599431,0.0239531434169418,0.0762830524229407,0.0240747977856453,0.0238871603559157
"TCGA-CM-6679-01",13.2303,11.76624,13.1631571428571,12.0885833333333,11.76624,0.477185418623248,0.110396324285616,0.475795011543169,0.111057856790262,0.110447684300927
"TCGA-CM-6680-01",12.223275,11.00294,12.2194857142857,11.21075,11.00294,0.182635969459576,0.0510330071027283,0.181664901770248,0.0514589538176201,0.0510161411036898
"TCGA-D5-5537-01",11.9708875,10.46556,11.9336,10.75995,10.46556,0.220352436789328,0.045083382982829,0.21837004103838,0.0453148573581239,0.0449095284118433
"TCGA-D5-5538-01",12.395975,11.0152,12.3488142857143,11.30035,11.0152,0.224189479237934,0.0509778603316719,0.223794257223412,0.0517081083409217,0.0513322158534275
