"sample","dataset","FAP13","matrix4","receptor2"
"GSM972217","discovery",0.0405702348880366,-0.247710700815532,0.569905967716559
"GSM972218","discovery",-1.27008566355237,-2.74730291855966,-0.389138942264698
"GSM972219","discovery",-0.226341383989286,0.116857280261939,-0.782804449829764
"GSM972220","discovery",0.64874872194023,0.66886659974148,-0.388712492512277
"GSM972221","discovery",-0.326239712321735,-0.710749167971795,0.297666026839917
"GSM972222","discovery",-0.318314465172479,0.174459129191159,-0.620422667015266
"GSM972223","discovery",0.60209412476171,1.14270823720871,-0.127649806703718
"GSM972224","discovery",0.305552543691695,0.764852830411558,-0.456386261288109
"GSM972225","discovery",-0.000889429661427612,-0.27131434427598,1.03533915718461
"GSM972226","discovery",-0.138973814285428,-0.0766085290594274,0.632036764569475
"GSM972227","discovery",-1.05129751754932,-2.14134284662786,0.256326436119588
"GSM972228","discovery",-1.17029496632218,-1.32022598755205,-0.180708143644972
"GSM972229","discovery",0.342146824812759,0.599280900976762,0.317155149219074
"GSM972230","discovery",-0.139254007072481,0.223851206469363,0.417312825345515
"GSM972231","discovery",1.24666139059812,0.545098085768168,-0.45492250480101
"GSM972232","discovery",0.707159076843615,1.03923222715817,-0.422588692728931
"GSM972233","discovery",-0.109173450006323,-0.854136646432172,-0.115779400558758
"GSM972234","discovery",1.7354932251328,1.89801050950223,-0.209517976558633
"GSM972235","discovery",1.02017799278236,1.34951443352887,-0.305186039768673
"GSM972236","discovery",-0.0322987387551018,-0.024601075239804,-0.000382262175305376
"GSM972237","discovery",-0.269668432243844,-0.327328700067573,-0.356420173684906
"GSM972238","discovery",0.650415859239023,1.2252006459319,0.55222825325767
"GSM972239","discovery",0.129500307260146,-0.147470191486119,-0.173226530240249
"GSM972240","discovery",0.895322704573003,1.49604128638752,0.846187527198784
"GSM972241","discovery",-0.356489327219376,-0.0910374414701517,-0.559636809665637
"GSM972242","discovery",0.918425302883281,1.28682322203679,0.0649372752953169
"GSM972243","discovery",0.0870686619621036,-0.357622500891979,0.520242182819744
"GSM972244","discovery",-0.00978440627984303,-0.14570084237675,-0.239616945121339
