class,cell_type,cell_subtype,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
Normal,B cells,Unknown,CLDN3,64,0.05022571511821982,0.0,4,6.25
Normal,B cells,Unknown,CLDN4,64,0.08599830657385253,0.0,4,6.25
Normal,B cells,Unknown,CLDN7,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,CLDN18,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,OCLN,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,TJP1,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,CDH1,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,EPCAM,64,0.011025416402941867,0.0,1,1.5625
Normal,B cells,Unknown,VIM,64,0.9056516639467297,0.0,30,46.875
Normal,B cells,Unknown,ZEB1,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,SNAI1,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,SNAI2,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,TWIST1,64,0.0,0.0,0,0.0
Normal,Epithelial cells,Goblet cells,FAP,139,0.0068586370953819965,0.0,1,0.7194244604316548
Normal,Epithelial cells,Goblet cells,COL1A1,139,0.07473501236079026,0.0,11,7.913669064748201
Normal,Epithelial cells,Goblet cells,COL1A2,139,0.025757363490104455,0.0,3,2.158273381294964
Normal,Epithelial cells,Goblet cells,COL3A1,139,0.03960335700123546,0.0,8,5.755395683453238
Normal,Epithelial cells,Goblet cells,FN1,139,0.05014119411834855,0.0,8,5.755395683453238
Normal,Epithelial cells,Goblet cells,POSTN,139,0.0027545466285706813,0.0,1,0.7194244604316548
Normal,Epithelial cells,Goblet cells,ACTA2,139,0.040913418990423334,0.0,5,3.597122302158273
Normal,Epithelial cells,Goblet cells,TAGLN,139,0.05714601364514794,0.0,7,5.0359712230215825
Normal,Epithelial cells,Goblet cells,CXCL12,139,0.041286430596420835,0.0,8,5.755395683453238
Normal,Epithelial cells,Goblet cells,CCL2,139,0.18035428230259457,0.0,27,19.424460431654676
Normal,Epithelial cells,Goblet cells,CD74,139,0.484487949717074,0.0,57,41.007194244604314
Normal,Epithelial cells,Goblet cells,HLA-DRA,139,0.2119928563334952,0.0,30,21.58273381294964
Normal,Epithelial cells,Goblet cells,CLDN1,139,0.0,0.0,0,0.0
Normal,Epithelial cells,Goblet cells,CLDN2,139,0.0,0.0,0,0.0
Normal,Epithelial cells,Goblet cells,CLDN3,139,2.6880857459854295,2.8145864958490483,133,95.68345323741008
Normal,Epithelial cells,Goblet cells,CLDN4,139,2.9149060381200225,3.0182397159242282,135,97.12230215827337
Normal,Epithelial cells,Goblet cells,CLDN7,139,1.6880943091072,1.7873978198434695,122,87.76978417266187
Normal,Epithelial cells,Goblet cells,CLDN18,139,0.0,0.0,0,0.0
