test_ligand,auroc,aupr,aupr_corrected,pearson,rank,sender_mean_count,sender_positive_percent,cellchat_direct_support
CEACAM5,0.574562903984118,0.0242762498342949,0.00784246830691988,0.0360314400707207,50,0.246478873239437,19.3661971830986,FALSE
APOD,0.543594450581588,0.0274505766712042,0.0110167951438293,0.0358954623528321,51,4.50352112676056,46.830985915493,FALSE
CTHRC1,0.573329211468835,0.0231041364019384,0.00667035487456339,0.0357857974877042,52,24.0387323943662,97.5352112676056,FALSE
COL5A1,0.567863122245444,0.031526003327214,0.015092221799839,0.0357519507015275,53,6.20422535211268,90.1408450704225,FALSE
RARRES2,0.539986545011124,0.0267159653493593,0.0102821838219843,0.0356554364814103,54,35.2183098591549,98.5915492957747,FALSE
COL1A2,0.580976002721555,0.0251550468026803,0.00872126527530529,0.0354513657834434,55,124.68661971831,99.6478873239437,TRUE
HMGB1,0.573545179329766,0.0253161906649583,0.00888240913758328,0.0354474343666185,56,8.13380281690141,96.4788732394366,FALSE
COL18A1,0.576642311353019,0.0255597061097761,0.00912592458240108,0.0353643108256378,57,2.69718309859155,66.9014084507042,FALSE
SERPING1,0.576035021195416,0.0244246489042996,0.00799086737692465,0.0351885838401717,58,6.47887323943662,91.9014084507042,FALSE
COL27A1,0.578485205245903,0.0247628258316284,0.00832904430425339,0.0350770050208454,59,0.327464788732394,24.2957746478873,FALSE
BGN,0.581167124722365,0.0262235158348713,0.00978973430749628,0.0350457786674783,60,29.2323943661972,99.2957746478873,FALSE
COL5A3,0.578522951841065,0.0246711809104164,0.00823739938304138,0.0348934228620723,61,0.704225352112676,31.6901408450704,FALSE
ICAM3,0.571699418606865,0.0242375102493115,0.00780372872193656,0.0345831827668214,62,0.267605633802817,19.7183098591549,FALSE
NEO1,0.580820716095896,0.0237992255766862,0.00736544404931118,0.034581298556276,63,0.22887323943662,18.3098591549296,FALSE
POSTN,0.555198422861246,0.0257778092390866,0.00934402771171158,0.0345481482585546,64,24.6514084507042,95.0704225352113,FALSE
GRN,0.564416714765692,0.0235045371643117,0.0070707556369367,0.0345478116256589,65,3.00352112676056,79.2253521126761,TRUE
EFNB2,0.578701650911831,0.0244313543815793,0.00799757285420433,0.0345430071003449,66,0.221830985915493,14.7887323943662,FALSE
CD58,0.57010498331505,0.0249640586879409,0.00853027716056589,0.0343415339617363,67,0.186619718309859,14.7887323943662,FALSE
COL6A2,0.577341340071012,0.0240535436145028,0.00761976208712785,0.0343158276661757,68,25.1443661971831,99.2957746478873,TRUE
EFEMP1,0.580743311685594,0.0237088225568313,0.00727504102945631,0.034309921225365,69,1.50704225352113,51.056338028169,FALSE
NAMPT,0.561308593227389,0.0239103510748265,0.0074765695474515,0.0341655069714952,70,2.27816901408451,59.5070422535211,FALSE
COL14A1,0.576915138009193,0.0246920281636664,0.00825824663629139,0.0340921701937251,71,0.355633802816901,24.6478873239437,FALSE
LAMB2,0.575818097724489,0.0245304413393487,0.0080966598119737,0.0340383752551758,72,0.866197183098592,51.7605633802817,TRUE
APOC1,0.578227190544806,0.0242106597809584,0.00777687825358339,0.0339841692911764,73,0.299295774647887,20.7746478873239,FALSE
COL7A1,0.577978731943738,0.0237408718521064,0.00730709032473143,0.0339808729650694,74,1.12323943661972,40.8450704225352,FALSE
A2M,0.569809222018772,0.0243051736391743,0.00787139211179929,0.0339456923836723,75,0.876760563380282,33.0985915492958,FALSE
SERPINF1,0.5657970934166,0.0249039913078372,0.00847020978046222,0.0339237028702044,76,14.2112676056338,95.4225352112676,FALSE
MMP9,0.577523383776768,0.0241670264226019,0.0077332448952269,0.0337822273143382,77,1.13380281690141,19.0140845070423,FALSE
LAMA4,0.57848616085592,0.023118150349741,0.00668436882236605,0.0337531461789696,78,1.58802816901408,65.8450704225352,TRUE
ENG,0.588263962417768,0.0261192125673553,0.00968543103998028,0.0337498701516365,79,0.71830985915493,42.9577464788732,FALSE
CALM2,0.573347845863911,0.0246207736559993,0.0081869921286243,0.0336870754262014,80,10.6021126760563,95.7746478873239,FALSE
BMP1,0.571588567846377,0.023626256613676,0.00719247508630105,0.0335418719072828,81,1.78521126760563,71.830985915493,FALSE
S100A4,0.581248351572725,0.0240343474422823,0.00760056591490736,0.0335313584284864,82,12.6161971830986,85.9154929577465,FALSE
SARAF,0.56993822936934,0.0237670772761095,0.00733329574873446,0.0334689030894749,83,2.90845070422535,81.3380281690141,FALSE
EFNB1,0.577153084900202,0.0242062980512066,0.00777251652383164,0.0333752280412906,84,0.274647887323944,21.1267605633803,FALSE
KITLG,0.572387457809812,0.0256071267323199,0.0091733452049449,0.0331292076884573,85,0.169014084507042,13.3802816901408,FALSE
COL12A1,0.584858168363182,0.0256777246994935,0.00924394317211846,0.0330126888629261,86,6.10915492957747,90.1408450704225,FALSE
WNT5A,0.56620896132835,0.0265933646168095,0.0101595830894345,0.0326458990118037,87,1.30985915492958,41.1971830985916,TRUE
COL6A3,0.576078023645605,0.024087181068201,0.00765339954082599,0.0325981504828183,88,16.2676056338028,98.943661971831,TRUE
LUM,0.574711501339762,0.0240558447402287,0.00762206321285374,0.0323615641220362,89,99.6161971830986,99.6478873239437,FALSE
CXCL2,0.576016386800316,0.0250927174270211,0.00865893589964615,0.0323285497395537,90,7.6056338028169,66.9014084507042,FALSE
HLA-A,0.560466223008783,0.023601788628819,0.007168007101444,0.0321367212386363,91,23.2112676056338,98.943661971831,FALSE
PDGFC,0.545953851681671,0.0245777486066962,0.00814396707932123,0.0319815022166086,92,1.31338028169014,57.7464788732394,FALSE
COL15A1,0.585673781501653,0.0241142634840697,0.00768048195669472,0.0319369029574059,93,3.13380281690141,72.1830985915493,FALSE
LIN7C,0.57409799971713,0.0238733417591403,0.00743956023176527,0.0316385530864048,94,0.165492957746479,14.4366197183099,FALSE
NTM,0.573044917492623,0.0238718336104264,0.00743805208305144,0.0316272159917681,95,1.39788732394366,52.112676056338,FALSE
FBN1,0.57209026309854,0.0254797916636607,0.00904601013628567,0.0315835347257826,96,2.53169014084507,78.8732394366197,FALSE
CCL5,0.581054840546898,0.0245876251556399,0.0081538436282649,0.0311343553705232,97,0.197183098591549,11.6197183098592,FALSE
ITM2B,0.58587637082253,0.0254882251209169,0.0090544435935419,0.0309171001871564,98,12.056338028169,97.5352112676056,FALSE
VCAN,0.575219885861917,0.023709354570424,0.007275573043049,0.0308967399454818,99,7.57042253521127,90.4929577464789,FALSE
SLIT3,0.570329551665985,0.0240900686134363,0.00765628708606127,0.0308023295062181,100,0.161971830985916,12.3239436619718,FALSE
HAS1,0.574741603054879,0.0250436431125815,0.0086098615852065,0.0306690033663834,101,0.535211267605634,17.9577464788732,FALSE
