gene,logFC,logCPM,F,PValue,FDR
REG1B,5.74626507307144,7.49266061764712,12.0903595017536,0.00342389123862817,0.250856156039081
MGAT2,0.729920216457485,4.41908659175764,12.0812400434591,0.00343141827851491,0.250856156039081
RUNDC1,0.800087313023218,3.82505158454019,12.0725197865629,0.00344165495332449,0.250856156039081
SPDEF,2.87098615829238,4.3080237985757,12.0342876207889,0.00348401685477417,0.251707762329113
FTL,-0.944848783758616,12.0310634617897,11.9673878207371,0.00354715432571036,0.251707762329113
RP5-881L22.5,-2.0702113744407,3.08590716284714,11.9821950165714,0.00355346762216523,0.251707762329113
MDH2,-0.777657906716443,8.13016450571014,11.9171087554032,0.003600274335002,0.251707762329113
NDUFAF5,-1.29213433705841,3.89391010438692,11.9128501450454,0.00361087285277543,0.251707762329113
CA12,2.0408177626924,5.13659899975006,11.8920767911104,0.00362791591109185,0.251707762329113
IGHG3,2.59397975868392,8.17350392968798,11.8868735761599,0.00363265547452295,0.251707762329113
SLC4A1AP,-0.740298721394122,3.63644190823018,11.8907503247223,0.00363425108052092,0.251707762329113
SYCE1L,2.64439209120345,3.00108914777688,11.9040493316857,0.00363616249349618,0.251707762329113
CTB-113I20.2,-0.89204103936639,2.42873082898782,11.8068631493281,0.00374292749501604,0.257313120170153
COL1A2,1.90728851998628,4.55784567821573,11.7738502855159,0.00375866957879087,0.257313120170153
ACADM,0.923631148384352,4.19714926460039,11.6807847900245,0.00386411264103332,0.262528257838391
RAD18,-0.933311836233593,2.82024472628119,11.6750752666871,0.00388584002065096,0.262528257838391
LINC01003,-1.28862032122667,3.96944168668445,11.6548454888168,0.00389841009137793,0.262528257838391
RNASEH1,-0.671960235023797,4.71866543416491,11.6288934521086,0.00392450068009939,0.2628566914979
CLEC2B,1.32365750109421,2.22540421630311,11.6141601606283,0.00396657041153319,0.264246096609181
RPS24,-0.969393948488272,12.0630697037328,11.5488277372958,0.00401828998128502,0.26551997367799
PSMD7,-0.884202799097967,7.05329467748863,11.5237348661624,0.00404881246072733,0.26551997367799
TMLHE,-0.967342792205654,3.15423433462189,11.4927337140729,0.0040991281105235,0.26551997367799
CANT1,0.942281807513755,5.6179871093107,11.4716307785077,0.00411304140720353,0.26551997367799
DCUN1D3,1.14895245707735,3.1594938127245,11.4657117166077,0.00412833189575247,0.26551997367799
CDC42EP4,0.918272186520548,4.80509177953345,11.4357929679564,0.00415837705662524,0.26551997367799
RASD1,1.85758516076536,4.96415835829946,11.4302212034928,0.00416562703473224,0.26551997367799
HNRNPL,0.813466758700676,5.07501484273724,11.4161241629867,0.00418299279137222,0.26551997367799
ARRDC2,0.868297284052303,3.54409090453166,11.4060600377855,0.0041995343555481,0.26551997367799
SHF,1.93085720470427,2.47421210431828,11.4182961024903,0.00420640475190908,0.26551997367799
