patient,row,col,DefineTypes,FAP_fibroblasts,SPP1_macrophages,immune_score,epithelial_flag,nhood_FAP_fibroblasts,nhood_SPP1_macrophages,nhood_immune_score,nhood_epithelial_flag,habitat
P6,249.99060492,481.33809752,Epitheial cells,0.255874592071213,0.0987578182370594,0.105230065314628,0,0.280678083365379,0.209616446863903,0.248776012019037,0,TLS-like immune
P6,353.95602564,308.17515708,MSC cells,0.558311197612046,0.233796768862983,0,0,0.380747334800238,0.313307045055226,0,0,Epithelial/other
P6,282.54087764,447.39710876,Epitheial cells,0.162102062339077,0.155617979845514,0,0,0.124026625413341,0.180520927283421,0.0301548197201448,0,Epithelial/other
P6,393.30953088,345.6117294,MSC cells,0.362857040530685,0.244763062362294,0,0,0.394203558318481,0.253653241960935,0.0300722794123188,0.142857142857143,Epithelial/other
P6,471.82860676,375.41815696,MARCO_FAP,0.918202288974951,0.525924901482187,0.101850271011183,0,0.898619459134127,0.504442615274542,0.0818234280147666,0,FAP+CAF/SPP1+TAM
P6,418.5303542,67.58128216,FAP+ fibroblasts,0.391183958765304,0.125178866804897,0,0,0.429795270525593,0.377029700101445,0.0533506226755511,0.142857142857143,SPP1+TAM-dominant
P6,334.18530572,259.42492184,Endothelial cells,0.428902353602038,0.486333546603305,0,0,0.305507120775724,0.296426092551583,0,0,Epithelial/other
P6,393.61022624,428.26536648,MARCO_FAP,0.345768990923541,0.434924582368107,0.156025184681197,0,0.316106534589447,0.274665673202827,0.0452766446651766,0.285714285714286,Epithelial/other
P6,543.39410244,273.74553836,Unknown,0.38193526123839,0.423993059649286,0,0,0.475959176205893,0.29587338687719,0.0707406943191274,0,Epithelial/other
P6,184.5517772,466.52885104,Epitheial cells,0.177768634215262,0.149163302014934,0,0,0.166079637244133,0.162808601641555,0.0142125275957582,0,Epithelial/other
P6,150.79872304,139.8233424,MARCO_FAP,0.757979247224577,0.562007085082023,0.089387555879634,0,0.609756939137075,0.417253393909795,0.0183472239999698,0.571428571428571,FAP+CAF/SPP1+TAM
P6,131.7421546,308.92689548,Fibroblast cells,0.253950781946048,0.217409787700936,0,0,0.207829278519218,0.238760101231765,0,0,Epithelial/other
P6,366.39729616,112.83593384,Malignant epithelial cells,0.193734475435095,0.300735104042467,0,1,0.267097902627728,0.353579556325937,0.0298964164416706,0.857142857142857,Epithelial/other
P6,262.24394084,240.89457028,Fibroblast cells,0.161336057046048,0.154882614764207,0,0,0.236989080448385,0.243011158472659,0.0444252604661702,0,Epithelial/other
P6,215.86168156,49.46438672,MARCO_FAP,0.993894961965126,0.490536099311221,0.1433899856081,0,0.791827013658947,0.4586423082117,0.0303549432364157,0.285714285714286,FAP+CAF/SPP1+TAM
P6,59.65044204,252.84721084,Endothelial cells,0.213224609445712,0.230842644678097,0,0,0.179477687970039,0.135989216967074,0,0,Epithelial/other
P6,268.85923876,267.16782736,Fibroblast cells,0.342708974315887,0.189582048760257,0,0,0.22459859818854,0.178004928558003,0,0,Epithelial/other
P6,255.10242604,64.34880704,Myofibroblast cells,0.269449572727994,0.338537429265519,0,0,0.37179883350328,0.361634277058354,0.0986059187444003,0,TLS-like immune
P6,138.5078002,372.78707256,Fibroblast cells,0.329314904288346,0,0,0,0.116778703575923,0.144979995208903,0,0,Epithelial/other
P6,217.02687608,402.5559132,Fibroblast cells,0,0.102480023604811,0,0,0.131296375819482,0.195995073890843,0,0,Epithelial/other
P6,276.11351432,481.22533676,Epitheial cells,0.163449138117564,0.103969328425658,0,0,0.180559328908822,0.210084677394192,0.0842304335836564,0,TLS-like immune
P6,405.78838832,165.26968724,Malignant epithelial cells,0.360048385026971,0.339526538734309,0.0663880111409542,1,0.447772322828356,0.312261599160412,0.0565870247605768,0.571428571428571,Epithelial/other
P6,78.81977124,121.29299084,Myofibroblast cells,0.321451367421262,0.260505630204914,0,0,0.299763608856935,0.332838690351564,0.0925179957713277,0,TLS-like immune
P6,86.2619814,387.97218824,Epitheial cells,0.0557493969221223,0.182659063020241,0,0,0.0563758337990755,0.161396547599988,0.017353979646304,0,Epithelial/other
P6,353.5049826,172.97500584,Malignant epithelial cells,0.338500488506379,0.339257906726146,0,1,0.327469336138914,0.297718922426934,0,0.857142857142857,Epithelial/other
P6,229.43055968,207.17910304,MSC cells,0.33305122289657,0.319729173980707,0,0,0.259046006387651,0.283775005133076,0.150568729615689,0,TLS-like immune
P6,445.06671972,187.67149156,Malignant epithelial cells,0.2573444720625,0.270391253307608,0.0596659302606797,1,0.28442774487004,0.290149051496162,0.00852370432295424,1,Epithelial/other
P6,235.78274916,143.31892596,Myofibroblast cells,0.308961464128528,0.335137473857407,0,0,0.320205237407962,0.328758807876017,0.0139628271590091,0.285714285714286,Epithelial/other
P6,380.41721732,398.2334174,MSC cells,0.249020409779856,0.156990924031557,0,0,0.145903022192318,0.225838901202958,0.0293804355504271,0,Epithelial/other
P6,340.31197368,127.94587568,Malignant epithelial cells,0.263398623770288,0.351300256302263,0,1,0.328509253766946,0.316090209683372,0,0.857142857142857,Epithelial/other
P6,85.54782992,177.63578392,Myofibroblast cells,0.290980482687105,0.340561941397983,0,0,0.22148491381479,0.374171176706538,0.0508799714173567,0,Epithelial/other
P6,431.91129772,165.1945134,MARCO_FAP,0.725289932687518,0.569971254577452,0.0643097243617073,0,0.728974600470026,0.41261393529449,0.0315588150208237,0.428571428571429,FAP+CAF/SPP1+TAM
P6,235.857923,165.83349104,Endothelial cells,0.401491615881281,0.473649842143222,0,0,0.325675810380609,0.322004303763748,0.0490183049497354,0,Epithelial/other
P6,367.6000776,473.4072574,Epitheial cells,0,0.162996948475685,0,0,0.133933301533158,0.216206242961686,0.035625475961066,0,Epithelial/other
P6,537.15467372,360.15786744,Malignant epithelial cells,0.174113389643397,0.294611955764773,0,1,0.2727980170309,0.270196419696967,0,0.571428571428571,Epithelial/other
P6,223.642174,421.31178628,Myofibroblast cells,0.339015377685983,0.345872821466125,0,0,0.149637587346899,0.25296457923131,0.105991201233514,0,TLS-like immune
P6,158.46645472,474.12140888,Epitheial cells,0,0.159217338004107,0.331702787508555,0,0.0944196819202442,0.149418855865293,0.0611439652624768,0,Epithelial/other
P6,484.1195296,134.97462972,Malignant epithelial cells,0.314742541173219,0.297398117051891,0,1,0.413402145580273,0.337180686834966,0.00993795286219507,0.714285714285714,Epithelial/other
P6,65.73952308,113.81319376,Myofibroblast cells,0.515039166997708,0.282290012458927,0,0,0.424084706274241,0.408854999005859,0.0449419089826072,0,SPP1+TAM-dominant
P6,464.87502656,243.9391108,MARCO_FAP,1.07512546751115,0.550335913079417,0.211299477441043,0,0.840792693123882,0.546983634921851,0.0866432812723095,0.285714285714286,FAP+CAF/SPP1+TAM
P6,281.5260308,139.40988628,Myofibroblast cells,0.15699390706203,0.347498263819601,0,0,0.306873104098023,0.386595547508514,0.0604723202537976,0,SPP1+TAM-dominant
P6,86.29956832,395.48957224,Epitheial cells,0,0.19183162182387,0,0,0.117028215457091,0.222074917015088,0.017353979646304,0,Epithelial/other
P6,470.88893376,89.94549956,Malignant epithelial cells,0.336015926430668,0.278906930968447,0,1,0.508873922716324,0.357177320520471,0.0140904009266228,0.571428571428571,FAP+CAF-dominant
P6,137.79364872,162.41308132,Myofibroblast cells,0.402901903523345,0.412492271254855,0,0,0.497079688708597,0.410374602829003,0.0051399767385854,0.142857142857143,SPP1+TAM-dominant
P6,144.44653356,196.2037224,Myofibroblast cells,0.287690435796839,0.369226582634668,0,0,0.254874652784824,0.312393136137454,0,0,Epithelial/other
P6,412.10299088,101.40951016,Malignant epithelial cells,0.4575049708076,0.271604368547149,0,1,0.541979490993979,0.330434814825909,0.0199533691952293,0.428571428571429,FAP+CAF-dominant
P6,484.34505112,210.07329588,MSC cells,0.883729809424724,0.458596718334122,0.0800874083917522,0,1.07881013640973,0.586918280148268,0.080800973085813,0,FAP+CAF/SPP1+TAM
P6,419.88348332,473.25690972,Malignant epithelial cells,0.233107643880824,0.203588201981281,0,1,0.214964837963639,0.232835461334857,0,0.857142857142857,Epithelial/other
P6,536.85397836,270.02443328,Unknown,0.673757265426447,0.20812900034527,0,0,0.527062062521311,0.329983339240266,0.0707406943191274,0,FAP+CAF-dominant
P6,308.55102628,409.77260184,Immune cells,0.160495840149962,0.101737490838173,0.641983360599847,0,0.198139458813529,0.201302905985326,0.273285878930376,0,TLS-like immune
P6,203.64593256,312.46006596,MSC cells,0.21168356878108,0.203216226029837,0,0,0.247838838488997,0.148467919785451,0,0,Epithelial/other
P6,347.71659692,394.58748616,Endothelial cells,0.310923683581586,0.209896574730468,0,0,0.313043586424339,0.221144412661862,0.0477136878677864,0,Epithelial/other
P6,452.1706476,356.6998708,MARCO_FAP,0.45345993074222,0.31929987863874,0,0,0.357274081925375,0.349011750524763,0.0519201782673039,0.428571428571429,Epithelial/other
P6,282.69122532,492.50141276,Epitheial cells,0.120967653474502,0.266153886430237,0.136606478382388,0,0.137900707366695,0.246045332468916,0.116614908720395,0,TLS-like immune
P6,399.69930728,304.2661174,MARCO_FAP,1.03684457580528,0.520205026407003,0,0,0.61408306293817,0.379581305398252,0.0234327346825631,0,FAP+CAF/SPP1+TAM
P6,151.6632222,395.26405072,Fibroblast cells,0.232788198750598,0.111738335400287,0,0,0.167635779873055,0.172609537121137,0.0613713329320595,0,Epithelial/other
P6,425.1080652,78.81977124,Malignant epithelial cells,0.161052288398268,0.260413566753008,0,1,0.285134140682268,0.313284409399751,0.011948035654546,0.857142857142857,Epithelial/other
P6,511.48280736,495.47077944,MARCO_FAP,0.894181986567622,0.427092984405971,0.110686110562754,0,0.457157694324025,0.343481266248421,0.0229633634255125,0.142857142857143,Epithelial/other
P6,393.23435704,323.09716432,MSC cells,0.409280596389748,0.271879792006534,0,0,0.438184899212966,0.29061202511278,0,0,Epithelial/other
P6,144.63446816,248.78782348,Fibroblast cells,0,0.382674411535777,0,0,0.133203412177576,0.242977099174718,0,0,Epithelial/other
P6,203.7211064,334.97463104,Fibroblast cells,0.21168356878108,0.330941289208701,0,0,0.217851884302465,0.131461973185013,0.0588568847417978,0,Epithelial/other
P6,177.93647928,440.25559396,Epitheial cells,0,0.0971002053586229,0,0,0.150893142748501,0.118342857185615,0,0,Epithelial/other
P6,98.4777304,132.493893,Myofibroblast cells,0.331487528931052,0.367810556899058,0,0,0.363681549956405,0.430279852922569,0.0148220834981713,0,SPP1+TAM-dominant
P6,484.4953988,247.66021588,MARCO_FAP,0.895551588353663,0.47605310745549,0,0,0.999273249328681,0.543020317131667,0.09846558536021,0,FAP+CAF/SPP1+TAM
P6,197.06822156,293.70419288,Fibroblast cells,0,0,0,0,0.109732296927308,0.169611169641938,0,0,Epithelial/other
