drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
PCI-34051_1621,191,192,4.52200136858382,4.80136036669694,-0.279358998113117,4.50937560216562,4.80930929018305,-0.29993368801743,2.49133463744636e-10,1.00670256778445e-09,45
KRAS (G12C) Inhibitor-12_1855,191,192,4.45435500838259,4.72303456637139,-0.268679557988801,4.43501599309519,4.7310529554691,-0.296036962373909,2.20906324629503e-06,5.02752325018869e-06,46
Zoledronate_1802,191,192,3.83146866897304,4.06770406803692,-0.236235399063884,3.80104713766224,4.0947221165517,-0.293674978889453,6.19612230501518e-10,2.2719115118389e-09,47
Crizotinib_1083,191,192,3.21391682108465,3.49468568669505,-0.280768865610397,3.19926449880626,3.48739554808599,-0.288131049279734,1.28234630454937e-11,5.77055837047218e-11,48
VE-822_1613,191,192,3.27539537609348,3.5544357887182,-0.279040412624721,3.29571575121241,3.58198369562041,-0.286267944407998,1.90894070037994e-06,4.49964593660985e-06,49
Elephantin_1835,191,192,3.47772105861284,3.72975385114179,-0.252032792528959,3.50480347109637,3.77897035487802,-0.274166883781654,3.61466833202911e-08,1.13603861863772e-07,50
GSK343_1627,191,192,2.81971982324609,3.05274417036763,-0.233024347121542,2.80397651901268,3.06387749359873,-0.259900974586046,4.03295503213446e-10,1.59705019272525e-09,51
Docetaxel_1819,191,192,-2.64254421048779,-2.39872945432356,-0.243814756164229,-2.60962012187801,-2.35213362567698,-0.257486496201023,0.00807565854839083,0.0121134878225862,52
MIM1_1996,191,192,3.98521288169587,4.16657680072751,-0.181363919031643,3.9255453567009,4.17996144668591,-0.254416089985005,9.34201052356876e-09,3.03232472732232e-08,53
AZD1208_1449,191,192,5.2848127124803,5.55901872564492,-0.274206013164614,5.30706109846776,5.55442098174647,-0.247359883278718,5.07572853013267e-10,1.92995689162828e-09,54
Pyridostatin_2044,191,192,3.3614212010009,3.56764907111369,-0.20622787011279,3.35503934491718,3.59278850242203,-0.237749157504848,1.26758331016167e-07,3.63741297698565e-07,55
Dactolisib_1057,191,192,-1.65817175657642,-1.46686355179267,-0.19130820478374,-1.6943586888805,-1.4575169934175,-0.236841695463002,1.32024218192152e-06,3.14949339783688e-06,56
LY2109761_1852,191,192,5.20413540827199,5.42170808431627,-0.217572676044277,5.20334257892021,5.43287562738477,-0.229533048464558,1.22886738338706e-09,4.26869722650241e-09,57
