drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
MK-1775_1179,191,192,0.747263983592972,0.686181986198007,0.0610819973949652,0.73460806269732,0.695016456740931,0.0395916059563891,0.218330624479514,0.25280388097628,145
Erlotinib_1168,191,192,2.70210820845303,2.65686537400476,0.0452428344482705,2.67750115647215,2.63440612992406,0.0430950265480985,0.334022122039615,0.375774887294567,146
WIKI4_1940,191,192,3.75219882758843,3.66138487305169,0.0908139545367352,3.73310188372105,3.68985527311676,0.0432466106042884,0.0781077082080803,0.0972662026742132,147
Dactinomycin_1911,191,192,-4.70070337144073,-4.81464952133645,0.11394614989572,-4.73252338710823,-4.77808126105527,0.0455578739470379,0.272989566182893,0.312438925457878,148
YK-4-279_1239,191,192,2.58381083917011,2.47836127458288,0.105449564587237,2.57619739146713,2.52975846159325,0.046438929873883,0.350917148181556,0.391407489180158,149
Trametinib_1372,191,192,0.604962450460699,0.568897274483604,0.0360651759770949,0.610241028269362,0.556705889117363,0.0535351391519994,0.000283239375877153,0.000496295543572357,150
Bortezomib_1191,191,192,-4.76601987451728,-4.84116525818946,0.0751453836721794,-4.77454964028574,-4.83072828731193,0.0561786470261927,0.0158003553720523,0.0220314814342701,151
GSK2606414_1618,191,192,3.87826790791691,3.78579665446485,0.0924712534520609,3.90416185714217,3.84568065003904,0.0584812071031311,0.14971827887918,0.180757434256571,152
GNE-317_1926,191,192,0.579959244630941,0.538237350658339,0.0417218939726018,0.608977402168294,0.547755503816894,0.0612218983514,0.0574015574936038,0.0723917731447997,153
GSK1904529A_1093,191,192,4.40117331747701,4.36760955848601,0.0335637589909972,4.41573749680565,4.35443284318285,0.061304653622801,0.104721638957016,0.127993114280797,154
Wnt-C59_1622,191,192,4.3967551111272,4.33192364543348,0.064831465693727,4.39322529046732,4.33116633054749,0.0620589599198329,0.0407471850069618,0.0520512427830867,155
Sepantronium bromide_1941,191,192,-4.28936116583655,-4.36271771966937,0.0733565538328165,-4.30095539572326,-4.37140355049898,0.0704481547757201,0.00248962512251194,0.00382128507176251,156
