drug,mean_difference,median_difference,p_value,fdr_bh,sensitivity_rank
EPZ5676_1563,-0.0873238578076894,-0.0666068494149856,0.0655979770289122,0.0787175724346946,111
Vinorelbine_2048,-0.0862490815433361,0.0107367973518091,0.500683088224304,0.536494792420294,112
AZD6738_1917,-0.0844152674851517,-0.0924831635770813,0.0510556052600295,0.0635786782483387,113
PAK_5339_1730,-0.0839689717338437,-0.0806590471553879,0.0281178169836419,0.0368697202831861,114
BDP-00009066_1866,-0.0777461947880749,-0.0837236413056179,0.00367729660513717,0.00564422269625706,115
IAP_5620_1428,-0.0769372770827221,-0.0664719744720346,0.0412033606191664,0.0522965730935574,116
ULK1_4989_1733,-0.0702393696147832,-0.0389954904283236,0.0444214813105852,0.0560219955381903,117
Docetaxel_1007,-0.0694251248010218,-0.0776981055897617,0.230297367232437,0.260565021211557,118
PLX-4720_1036,-0.0555477246020164,-0.0887327283704602,0.361989822667109,0.40266283644993,119
IRAK4_4710_1716,-0.0535689431918156,-0.0671537196940308,0.0270128769861652,0.035656997621738,120
Uprosertib_2106,-0.0520345034891636,-0.0714179332056233,0.360533271389646,0.40266283644993,121
Dinaciclib_1180,-0.0499653300046483,-0.0510699464628774,0.178481244278377,0.206662493374963,122
NVP-ADW742_1932,-0.0466289504646404,-0.0805392391442936,0.407387764962996,0.445650704213664,123
AZD4547_1786,-0.0441757778266125,-0.0724774172234834,0.418980794924753,0.455814271401654,124
Pictilisib_1058,-0.0426905566980016,-0.0517628219223683,0.00154147533863608,0.00242231838928526,125
GNE-317_1926,-0.0357146983936856,-0.0410192624196944,1.64248000755999e-05,3.25211041496877e-05,126
TAF1_5496_1732,-0.0277386486414226,-0.0838696000082697,0.400628161003291,0.44069097710362,127
AGI-5198_1913,-0.0261379271454247,-0.0241104824581315,0.389852220621746,0.431233182587183,128
AZD5582_1617,-0.0245902865669412,-0.0704520742928891,0.501270386857346,0.536494792420294,129
Pevonedistat_1529,-0.023228541043824,-0.0295332130797386,0.949580445701787,0.954400651009918,130
Navitoclax_1011,-0.0213563728524546,-0.014051677820992,0.756082252539859,0.783792073313571,131
AGI-6780_1634,-0.0170535655971849,0.0406727932443056,0.911429327492763,0.920729626752893,132
Dabrafenib_1373,-0.015106896441079,-0.034044962469701,0.903382014447012,0.917280199284658,133
ERK_6604_1714,-0.0146699096073641,0.00695120867461707,0.777225906439328,0.801514216015557,134
PD173074_1049,-0.0143923203393701,-0.018204916504712,0.897535602986694,0.916041491708069,135
Linsitinib_1510,-0.00375378846416741,-0.0299941866635209,0.967233077338746,0.967233077338746,136
VSP34_8731_1734,0.00380940919858386,-0.0191249234632558,0.814976688266567,0.836090073972954,137
Cediranib_1922,0.00740866330759893,0.0117846032913613,0.569286314776484,0.599567501732679,138
I-BRD9_1928,0.00930602549101955,0.0250487663602721,0.563038587050872,0.596158503936217,139
AZD5363_1916,0.0188856301425044,-0.00701656971644882,0.683598894662363,0.712382006016567,140
Erlotinib_1168,0.027856337114454,0.0281639185520253,0.556204521968721,0.592088684676381,141
Fulvestrant_1816,0.030484002784422,0.0171055426035789,0.452122946716506,0.489182204644089,142
Trametinib_1372,0.0311570008446846,0.0212008468918087,0.00331507505954809,0.00514329153439606,143
SCH772984_1564,0.0340551733918173,0.0282576625716122,0.00406326449338201,0.00618866438222799,144
5-Fluorouracil_1073,0.0425891817822341,0.0184499562030895,0.650700041796361,0.681685758072378,145
LCL161_1557,0.0588653113002877,0.0305569066261713,0.165445918780904,0.193836046855734,146
WIKI4_1940,0.0621220073511859,0.0991195975116419,0.0130718581459768,0.0182269571331226,147
Dihydrorotenone_1827,0.0671263391995271,0.0856222364309879,0.0653279620246958,0.0787175724346946,148
YK-4-279_1239,0.0679884972215259,0.10656251467047,0.197671955724622,0.226237267245521,149
GSK1904529A_1093,0.0699089579834533,0.0420439157614769,0.05949095089208,0.0727111622014311,150
Oxaliplatin_1089,0.0718491950718394,0.0468279422064328,0.246465981870141,0.277274229603909,151
BMS-536924_1091,0.0790772678192417,0.0605548197300627,2.41911994902644e-06,5.38186235850826e-06,152
Wnt-C59_1622,0.0836836559289012,0.0905748094259025,0.00705741271604343,0.0103508719835304,153
Bortezomib_1191,0.0880943913865009,0.122060364821336,0.00105060983201888,0.0016912255832499,154
GSK2606414_1618,0.0881126435995201,0.12297799810595,0.0337006453776774,0.0433294011998709,155
Taselisib_1561,0.0883269390011008,0.0641469080972819,0.197671955724622,0.226237267245521,156
Dactinomycin_1911,0.0900984849068527,0.104632109829692,0.0544400578130415,0.0673695715436389,157
JAK_8517_1739,0.0954384825385461,0.0731716885627085,0.166857884592399,0.194340359701735,158
GDC0810_1925,0.0971877408587511,0.112947499347767,0.0159611679654321,0.0219466059524692,159
Gefitinib_1010,0.119845696132432,0.0544804685173679,0.0304449676075282,0.0393993698450365,160
AZD3759_1915,0.122949221251897,0.103554495955639,0.000853707258421821,0.001408616976396,161
