program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Telocyte_CAF,9.106508743293739e-11,3.30172702445461,0.462,0.053,3.26486551464567e-06,telocyte-like CAF,KIF26B
Telocyte_CAF,6.34070077517091e-08,3.29105821611084,0.538,0.103,0.0022732680419142,telocyte-like CAF,PTGDS
Telocyte_CAF,1.14191497622961e-10,3.25284993161169,0.308,0.024,4.09399357277839e-06,telocyte-like CAF,RP11-356J5.12
Telocyte_CAF,1.51868237635159e-10,3.23539907533027,0.385,0.038,5.44478005569573e-06,telocyte-like CAF,TNFSF11
Telocyte_CAF,6.5933037761223e-07,3.21637832372145,0.385,0.058,0.0236383126981537,telocyte-like CAF,CXCL1
Telocyte_CAF,1.3909787568012699e-13,3.21269730090466,0.462,0.04,4.98693703888391e-09,telocyte-like CAF,D4S234E
Telocyte_CAF,1.2336929719057e-11,3.20412414801112,0.462,0.048,4.4230360428763e-07,telocyte-like CAF,EFCC1
Telocyte_CAF,1.93947623431754e-10,3.19452729535742,0.462,0.055,6.95341019527524e-06,telocyte-like CAF,GFER
Telocyte_CAF,6.649592715747501e-10,3.19411746895672,0.615,0.102,2.38401198044979e-05,telocyte-like CAF,ADAMTS14
Telocyte_CAF,5.64934029856414e-13,3.19266529839838,0.462,0.043,2.02540148384122e-08,telocyte-like CAF,CDCP1
Telocyte_CAF,8.17195205646679e-23,3.18993264595888,0.462,0.023,2.92980825128447e-18,telocyte-like CAF,SCUBE2
Telocyte_CAF,1.02633178557463e-10,3.18990634342595,0.308,0.024,3.67960471764217e-06,telocyte-like CAF,NFKBIL1
Telocyte_CAF,7.68552471776639e-23,3.183126934593,0.923,0.097,2.75541432181361e-18,telocyte-like CAF,WNT5A
Telocyte_CAF,2.63274699482289e-10,3.17165793246666,0.538,0.077,9.43892452583903e-06,telocyte-like CAF,DNAJA4
Telocyte_CAF,3.7786405493001497e-28,3.16632234035359,0.923,0.077,1.35471820973509e-23,telocyte-like CAF,F2RL2
Telocyte_CAF,5.67711924970596e-15,3.16087702048906,0.769,0.108,2.03536079340458e-10,telocyte-like CAF,RBP1
Telocyte_CAF,8.30864246988364e-16,3.14556540868674,0.692,0.078,2.97881449830268e-11,telocyte-like CAF,NCAM1
Telocyte_CAF,2.16094929377326e-17,3.14128057051768,0.462,0.031,7.74743540803591e-13,telocyte-like CAF,SERTAD4-AS1
Telocyte_CAF,1.76290486218231e-10,3.12687161255577,0.308,0.024,6.32036651189603e-06,telocyte-like CAF,EGLN3
Telocyte_CAF,1.14942067512906e-08,3.12170364648774,0.385,0.045,0.0004120903004472,telocyte-like CAF,KLF5
Telocyte_CAF,5.19390117886146e-14,3.10437705443343,1.0,0.205,1.8621174506454101e-09,telocyte-like CAF,BMP4
Telocyte_CAF,2.19786723422805e-10,3.09864909676421,0.385,0.038,7.87979360815441e-06,telocyte-like CAF,APBA2
Telocyte_CAF,1.56341170655934e-17,3.08832147277669,1.0,0.163,5.60514365035655e-13,telocyte-like CAF,SPSB1
Telocyte_CAF,2.98718593534187e-10,3.07048921839407,0.462,0.056,1.07096590153877e-05,telocyte-like CAF,CTSZ
Telocyte_CAF,6.76090805322215e-14,3.06084195540243,0.923,0.159,2.42392075524121e-09,telocyte-like CAF,TGM2
Telocyte_CAF,2.48830680008697e-11,3.03142822607391,0.615,0.088,8.9210775396718e-07,telocyte-like CAF,RDH10
Telocyte_CAF,3.6827519338699004e-16,3.03107347985061,1.0,0.182,1.3203402233310398e-11,telocyte-like CAF,SULF2
Telocyte_CAF,9.415844394860049e-11,3.02960395605263,0.308,0.023,3.37576853244522e-06,telocyte-like CAF,XXbac-BPG252P9.10
Telocyte_CAF,5.9616366940627e-09,3.0268381477739,0.308,0.029,0.0002137365987555,telocyte-like CAF,LRP4
Telocyte_CAF,2.49071756990179e-10,3.01567172804043,0.308,0.025,8.92972063161189e-06,telocyte-like CAF,ARHGEF25
Telocyte_CAF,2.16461369602821e-16,3.01525960961187,0.538,0.045,7.76057302300033e-12,telocyte-like CAF,LRRN4CL
Telocyte_CAF,3.27139176344539e-13,3.00649556946378,1.0,0.272,1.17285937503044e-08,telocyte-like CAF,MMP2
