file,old_exists,new_exists,old_bytes,new_bytes,old_sha256,new_sha256,byte_identical,table_status,old_nrow,old_ncol,new_nrow,new_ncol,numeric_diff_cells,character_diff_cells,max_abs_numeric_diff,differing_columns,read_error
L1_TISCH_GSE166555/patient_level_associations.csv,TRUE,TRUE,4805,4805,f7a8b38fad3bbf3652a26b545a3fc3fbc9e400ba94b7d4049eb3a3d1dfdfac3d,f7a8b38fad3bbf3652a26b545a3fc3fbc9e400ba94b7d4049eb3a3d1dfdfac3d,TRUE,identical_values,32,10,32,10,0,0,0,"",""
L1_TISCH_GSE166555/R_sessionInfo.txt,TRUE,TRUE,644,644,7410de5927d2f96d0efa3e044bfe5e65d7fdff0db6b721c10c3e1925310100d1,1512cbaa320a7953906fc934f6afd15c6ef30137baaf9b34b3914db8d588a506,FALSE,not_tabular,,,,,,,,,
L1_TISCH_GSE166555/sample_group_qc.csv,TRUE,TRUE,4531,4531,a81d961c69d209caa5b35534e92b99453c7e3b6e4d4c28b48c84bcb6c5c26751,a81d961c69d209caa5b35534e92b99453c7e3b6e4d4c28b48c84bcb6c5c26751,TRUE,identical_values,108,6,108,6,0,0,0,"",""
L1_TISCH_GSE166555/selected_gene_counts_by_sample_group.csv,TRUE,TRUE,146938,146938,4a227f9342322dbd2a74483c8bf7b16303e529cb2128eb563892e54c2b16d3f4,4a227f9342322dbd2a74483c8bf7b16303e529cb2128eb563892e54c2b16d3f4,TRUE,identical_values,2808,9,2808,9,0,0,0,"",""
L1_TISCH_GSE166555/sessionInfo.txt,TRUE,TRUE,139,139,175366040a797412b01f53ada9d627c69d5c1f3b57c657e3d72acd6a70ad6e9f,175366040a797412b01f53ada9d627c69d5c1f3b57c657e3d72acd6a70ad6e9f,TRUE,not_tabular,,,,,,,,,
L1_TISCH_GSE166555/target_gene_availability.csv,TRUE,TRUE,485,485,225392fedff1a05544b948d3d4208333d43336dd06966bb8b88689748e1f8aec,225392fedff1a05544b948d3d4208333d43336dd06966bb8b88689748e1f8aec,TRUE,identical_values,26,3,26,3,0,0,0,"",""
L2_spatial/legacy_habitat_agreement.csv,TRUE,TRUE,87,87,b82f89a6cb6e31bf8dac74be358fa8da9b44bbd4299cb35291589f06bba6ea71,b82f89a6cb6e31bf8dac74be358fa8da9b44bbd4299cb35291589f06bba6ea71,TRUE,identical_values,1,4,1,4,0,0,0,"",""
L2_spatial/sessionInfo.txt,TRUE,TRUE,1351,1929,a6c63943468cb89f6901219c12f8cd949ff7565814628f3ff18d5e6e2e408252,5d05e6f031482b22df08711e2de1447e582561afb34793c89ba7456e03052203,FALSE,not_tabular,,,,,,,,,
L2_spatial/spatial_fap_epithelial_cooccurrence.csv,TRUE,TRUE,281,281,1f12e84f3ed9c4dfce7458644dbb153142f87bbcf3af246e21c4914e53fbaf58,1f12e84f3ed9c4dfce7458644dbb153142f87bbcf3af246e21c4914e53fbaf58,TRUE,identical_values,3,6,3,6,0,0,0,"",""
L2_spatial/spatial_habitat_summary.csv,TRUE,TRUE,662,662,10289eca116c04f7ec7ba0369986ad1c8ad1946446c44ac9b6deee9b7650862e,10289eca116c04f7ec7ba0369986ad1c8ad1946446c44ac9b6deee9b7650862e,TRUE,identical_values,15,4,15,4,0,0,0,"",""
L2_spatial/spatial_habitat_thresholds.csv,TRUE,TRUE,213,213,2b862f90acf9886b0a6f6ec359d278331cf3657b7f956aa82e8b031e835ce497,2b862f90acf9886b0a6f6ec359d278331cf3657b7f956aa82e8b031e835ce497,TRUE,identical_values,3,4,3,4,0,0,0,"",""
L2_spatial/spatial_morans_i.csv,TRUE,TRUE,379,378,a3ca403b73019ea6b34c75ef90518fdaa12413dbca3ba6d5fde438ad1eace919,6dbb06980c194fc74640b36e6306cf30fcb8662c3960c9972d0c4dcba0aaed53,FALSE,values_changed,3,9,3,9,6,0,0.000500700730486026,moran_i;fap_neighbor_spp1_rho,""
L2_spatial/spatial_spot_habitats_recomputed.csv,TRUE,TRUE,1660081,1660100,663bea43bd15196bb080f6b4cd632e9d96232a5c8310841b6ae7da9ee9904ad1,c7355a03ac4b5dd64030459bad74591a3c7b36bd0721b1bfbc028ab2cfc9b07a,FALSE,values_changed,10004,13,10004,13,49,0,0.142857142857143,nhood_FAP_fibroblasts;nhood_SPP1_macrophages;nhood_immune_score;nhood_epithelial_flag,""
L2_Valdeolivas_spatial/sessionInfo.txt,TRUE,TRUE,811,811,93e0a2313aeb6eab1ebc61e20c56392f5910c54eecc5c7cb015cbd6f7b684528,21eebfe0d0a333f5084b1fb2ff8364b5a1f4e285460b0e5204f016059196b703,FALSE,not_tabular,,,,,,,,,
L2_Valdeolivas_spatial/spatial_patient_averaged_metrics.csv,TRUE,TRUE,517,517,b991598d39f85a94f407344195e31af4b42d74737cee844f7a5be8d35d85cf1f,b991598d39f85a94f407344195e31af4b42d74737cee844f7a5be8d35d85cf1f,TRUE,identical_values,7,4,7,4,0,0,0,"",""
L2_Valdeolivas_spatial/spatial_patient_summary.csv,TRUE,TRUE,413,413,ef2b592735658a07a3e01c2c24869cc136c9ca8ebcf62e025aa8a4f25f7e0179,ef2b592735658a07a3e01c2c24869cc136c9ca8ebcf62e025aa8a4f25f7e0179,TRUE,identical_values,3,9,3,9,0,0,0,"",""
L2_Valdeolivas_spatial/spatial_replicate_concordance.csv,TRUE,TRUE,270,270,d93870cf2f533236f09e1da6ba38311f8320b5f7dcd615933c7dcfda3b7281f9,d93870cf2f533236f09e1da6ba38311f8320b5f7dcd615933c7dcfda3b7281f9,TRUE,identical_values,3,5,3,5,0,0,0,"",""
L2_Valdeolivas_spatial/spatial_sample_metrics.csv,TRUE,TRUE,2474,2474,f43c9393d5d8ff023b9919912d88b5f94420a390c4834e02b104df60da88b4cd,f43c9393d5d8ff023b9919912d88b5f94420a390c4834e02b104df60da88b4cd,TRUE,identical_values,14,16,14,16,0,0,0,"",""
L2_Valdeolivas_spatial/spatial_spot_scores.csv.gz,TRUE,TRUE,1314642,1314642,64007b3263b2f7705be4f8ce08d66a7da42413b620682e5dd0d6bde147431fa8,64007b3263b2f7705be4f8ce08d66a7da42413b620682e5dd0d6bde147431fa8,TRUE,identical_values,20733,14,20733,14,0,0,0,"",""
L3_NicheNet/epithelial_DE_summary.csv,TRUE,TRUE,151,151,66e67d1c11a6b03b58879750a4eb50e2befb4c1b830b359d3c89cdebd000d309,66e67d1c11a6b03b58879750a4eb50e2befb4c1b830b359d3c89cdebd000d309,TRUE,identical_values,1,7,1,7,0,0,0,"",""
L3_NicheNet/epithelial_pseudobulk_high_vs_low_DE.csv,TRUE,TRUE,1199273,1199273,ed00769b8bcffcb2ad09a84c463759016ad8964dc13874e660a0494e00c5b41e,ed00769b8bcffcb2ad09a84c463759016ad8964dc13874e660a0494e00c5b41e,TRUE,identical_values,12391,6,12391,6,0,0,0,"",""
L3_NicheNet/nichenet_ligand_activity_dataset_specific.csv,TRUE,TRUE,35569,35569,38c938118f79a96a5fb89b9430e26ac0853c17212c5721043c2ad0c4dc79a9ea,38c938118f79a96a5fb89b9430e26ac0853c17212c5721043c2ad0c4dc79a9ea,TRUE,identical_values,282,9,282,9,0,0,0,"",""
L3_NicheNet/nichenet_patient_groups.csv,TRUE,TRUE,599,599,088fd4a383c5203604b1e12829717d190643ecbf64e328ae24ddeb22732d3dd5,088fd4a383c5203604b1e12829717d190643ecbf64e328ae24ddeb22732d3dd5,TRUE,identical_values,13,6,13,6,0,0,0,"",""
L3_NicheNet/nichenet_potential_ligands.csv,TRUE,TRUE,1986,1986,4dcff050c517d7e8492d508018775895f52b5ad174840b44db6b33692642c793,4dcff050c517d7e8492d508018775895f52b5ad174840b44db6b33692642c793,TRUE,identical_values,282,1,282,1,0,0,0,"",""
L3_NicheNet/nichenet_receiver_gene_set_top200.csv,TRUE,TRUE,1561,1561,a26d780ca84d179303557720ef80b19271859ad14eae83eb802ed165ad7baa60,a26d780ca84d179303557720ef80b19271859ad14eae83eb802ed165ad7baa60,TRUE,identical_values,200,1,200,1,0,0,0,"",""
L3_NicheNet/sessionInfo.txt,TRUE,TRUE,5311,5311,6619f50accb1575f8ccd0206ab388d00a7927e45d482c41dc50e22f9b2561a7b,748b4575837e2f2ce71ea144946203fec24727a3afa9f1ae94bbea85590ec6f7,FALSE,not_tabular,,,,,,,,,
L3_pathway_TF/dorothea_high_vs_low_and_burden.csv,TRUE,TRUE,17141,17141,96f9d0af17dee55e81a7e6d163fa0da1cc849c5d7fb459d06b3628b76e252eb0,96f9d0af17dee55e81a7e6d163fa0da1cc849c5d7fb459d06b3628b76e252eb0,TRUE,identical_values,101,11,101,11,0,0,0,"",""
L3_pathway_TF/dorothea_patient_scores.csv,TRUE,TRUE,23731,23731,6e2c8df2f038aee9e3fe8ccee17f3ee8cb66dbbf6f0b1361dfcb00ca8eed0c29,6e2c8df2f038aee9e3fe8ccee17f3ee8cb66dbbf6f0b1361dfcb00ca8eed0c29,TRUE,identical_values,13,102,13,102,0,0,0,"",""
L3_pathway_TF/dorothea_selected_emt_tfs.csv,TRUE,TRUE,1152,1152,c2084f0fecfb53e9fb1234f94d9b63759958a64262792cf0fb0df828333ad06b,c2084f0fecfb53e9fb1234f94d9b63759958a64262792cf0fb0df828333ad06b,TRUE,identical_values,6,11,6,11,0,0,0,"",""
L3_pathway_TF/eligible_patient_groups.csv,TRUE,TRUE,599,599,088fd4a383c5203604b1e12829717d190643ecbf64e328ae24ddeb22732d3dd5,088fd4a383c5203604b1e12829717d190643ecbf64e328ae24ddeb22732d3dd5,TRUE,identical_values,13,6,13,6,0,0,0,"",""
L3_pathway_TF/progeny_high_vs_low_and_burden.csv,TRUE,TRUE,2284,2284,6cd77a702e0fa57fb978b12221da2d168d86dbac39a836fdf69406f47c7edeab,6cd77a702e0fa57fb978b12221da2d168d86dbac39a836fdf69406f47c7edeab,TRUE,identical_values,14,11,14,11,0,0,0,"",""
L3_pathway_TF/progeny_patient_scores.csv,TRUE,TRUE,3476,3476,d2ec95bb8dc3d8bcf44f6cc35c34aaae18b5b08cdb686ebc96090ef8db46a659,d2ec95bb8dc3d8bcf44f6cc35c34aaae18b5b08cdb686ebc96090ef8db46a659,TRUE,identical_values,13,15,13,15,0,0,0,"",""
L3_pathway_TF/sessionInfo.txt,TRUE,TRUE,1740,1740,505a7f0049ef3f335d5b33f1d2956095def2868bb944bf076838b2e3e11c22bd,0994364bc933fb0659e04d21b7ddb2fe9a7674eed5f0729d87fa22c10135ec5d,FALSE,not_tabular,,,,,,,,,
L3_spatial_CellChat/sessionInfo.txt,TRUE,TRUE,3387,3387,9495f0ffacd074b12a153b50c7710f4411de9944b628486fbb047f8d5904a440,291577a79cb4a9006e67012f539a3af4323783b82b658e753c76520c3d964fa8,FALSE,not_tabular,,,,,,,,,
L3_spatial_CellChat/spatial_cellchat_focused_pairs_all.csv,TRUE,TRUE,70951,68743,d4bfada9d6a3388e56bf1a45b72fd412d7ab23fb7cef97a848e7ab9cb2c47c29,a3c22c336a6318f36e9eafc7a78524292562c50911934661e2dbeeee6a7edecc,FALSE,schema_or_dimension_changed,411,18,411,17,0,0,0,significant,""
L3_spatial_CellChat/spatial_cellchat_pair_prevalence.csv,TRUE,TRUE,475,475,f0f283369959cf9bbd9419d594366515355be8c2976295508733c1ef59dd40dd,f0f283369959cf9bbd9419d594366515355be8c2976295508733c1ef59dd40dd,TRUE,identical_values,6,7,6,7,0,0,0,"",""
L3_spatial_CellChat/spatial_cellchat_patient_pair_summary.csv,TRUE,TRUE,2805,2805,74445746bb47ce7982bacce640d9022013e6a8c974e7079c1672062f40ded7db,74445746bb47ce7982bacce640d9022013e6a8c974e7079c1672062f40ded7db,TRUE,identical_values,36,9,36,9,0,0,0,"",""
L3_spatial_CellChat/spatial_cellchat_prespecified_direction.csv,TRUE,TRUE,6798,6798,e76fa4caf8d3506c1a870aebe6403c6c65bc743f28b59ef3a4d79e2337926f4d,e76fa4caf8d3506c1a870aebe6403c6c65bc743f28b59ef3a4d79e2337926f4d,TRUE,identical_values,72,10,72,10,0,0,0,"",""
L3_spatial_CellChat/spatial_cellchat_status.csv,TRUE,TRUE,910,910,bbaefa78793c5d54229a4048ecfd513cda9c53ad4219077408bc28cb5fa09059,bbaefa78793c5d54229a4048ecfd513cda9c53ad4219077408bc28cb5fa09059,TRUE,identical_values,14,7,14,7,0,0,0,"",""
L4_immune/epic_high_vs_low.csv,TRUE,TRUE,1421,1421,54da09ee0adca294e92e3ba84416118a6df785eee6ecc84d236a47aef057be42,54da09ee0adca294e92e3ba84416118a6df785eee6ecc84d236a47aef057be42,TRUE,identical_values,8,12,8,12,0,0,0,"",""
L4_immune/epic_tumor_cell_fractions.csv,TRUE,TRUE,65336,65336,8dcdd17b65b1d2cf216953eced051826801046698a851b7afef7d65bc441c860,8dcdd17b65b1d2cf216953eced051826801046698a851b7afef7d65bc441c860,TRUE,identical_values,8,384,8,384,0,0,0,"",""
L4_immune/epic_warnings.txt,TRUE,TRUE,372,372,dea53c16742239b3f62e8da86192f02251c7b799186158a9909a66b4b57830e7,dea53c16742239b3f62e8da86192f02251c7b799186158a9909a66b4b57830e7,TRUE,not_tabular,,,,,,,,,
