draw,median_patient_mean_difference
178,-0.074656493365952
179,-0.0524821577128554
180,-0.0797653112627734
181,-0.0885553509147334
182,-0.0691314631838964
183,-0.0570806329552107
184,-0.0603879449846196
185,-0.0650390972454349
186,-0.0732204145428227
187,-0.063811911158322
188,-0.0830760823492297
189,-0.075200579642325
190,-0.0834448778491713
191,-0.085473078258358
192,-0.0886098856601157
193,-0.0790046545563403
194,-0.0406563180727292
195,-0.0902162920240152
196,-0.071755516829
197,-0.0695599920739888
198,-0.0573260720264284
199,-0.0654054665337165
200,-0.0859138859001742
201,-0.0568271537215281
202,-0.0744759376074934
203,-0.0773562943038892
204,-0.0723150565126589
205,-0.0844119758427933
206,-0.0831413848266332
207,-0.0612412973435297
208,-0.0829850850041139
209,-0.0933899943567108
210,-0.0775315775635919
211,-0.0898779902375872
212,-0.0637909927719492
213,-0.0797075658749697
214,-0.0674689203547816
215,-0.0853822216020666
216,-0.0797554213001887
217,-0.0744332033134328
218,-0.0737301185499954
219,-0.0637808340325714
220,-0.0538540920899305
221,-0.0676801244616455
222,-0.0780805547572697
223,-0.0560968730636844
224,-0.0804934211174242
225,-0.048902439570787
226,-0.0954741328125946
227,-0.0813377784850861
228,-0.0720710933585212
229,-0.0664174660865602
230,-0.0681179375074766
231,-0.0476470130909011
232,-0.0731164291012165
233,-0.0534488999446681
234,-0.0694368209112599
235,-0.0844807355274124
236,-0.0765516364376519
237,-0.0834986287122182
238,-0.0672638084783328
239,-0.0701427948386646
240,-0.0581999361646078
241,-0.0682459928664304
242,-0.0638976144055852
243,-0.0737135532437263
244,-0.0614010870041924
245,-0.0709963619885743
246,-0.0743531476749053
247,-0.088421596701187
248,-0.0584783265987616
249,-0.0669649297294835
250,-0.0570800498610547
251,-0.0728670205241342
252,-0.0790496386361069
253,-0.0811549753069484
254,-0.068237801494011
255,-0.0632328329289318
256,-0.0739882582758278
257,-0.0985700634526237
258,-0.0683258906169973
259,-0.0519282554385587
260,-0.0689967952825083
261,-0.0918648554127677
262,-0.0653390970330973
263,-0.0882308646483935
264,-0.0598602418544759
265,-0.0741757554577692
266,-0.0824061634421422
267,-0.0607000697197426
268,-0.0713480208748888
269,-0.0699288634792602
270,-0.0558258707385067
271,-0.0687021869324611
272,-0.0546805368654773
273,-0.095712234214702
274,-0.0747228208705888
275,-0.100044310691853
276,-0.0804824908249701
277,-0.0804773812313884
278,-0.0628166809221053
279,-0.0701977537242121
280,-0.0480455873702536
281,-0.0831312095756606
282,-0.0576206827499132
283,-0.0791070842805176
284,-0.0606505266411844
285,-0.0604848470894114
286,-0.0584793920748169
287,-0.063263006808592
288,-0.069736207120868
289,-0.0759220617493751
290,-0.0533794991230902
291,-0.0750535000862383
292,-0.061192198507077
293,-0.0656101027831095
294,-0.0598773512384203
295,-0.0763829380344863
296,-0.0615774022232608
297,-0.0531550064083316
298,-0.079181262925163
299,-0.0833599119982709
300,-0.0815956171215015
301,-0.0539434224126178
302,-0.0719678922431111
303,-0.0859259239244906
304,-0.0781831610552611
305,-0.0628679192721393
306,-0.085968044750998
307,-0.0720961944595725
308,-0.0664898385671331
309,-0.089088382237486
310,-0.0898789127298411
311,-0.0816417141092695
312,-0.100474966094549
313,-0.0761928882169309
