source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,sample_id,patient_id,replicate,sender_spots,receiver_spots,prespecified_direction
Tumor_stroma,Fibroblastic_stroma,FN1,CD44,0.0682719033575425,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor,FN1,CD44,0.0529562770446106,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,TRUE
Tumor_stroma,Tumor,FN1,CD44,0.0849337681765632,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,CD44,0.0636324052611047,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Tumor_stroma,FN1,CD44,0.0781794498545765,0.02,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A1,CD44,0.13841291479967,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A1,CD44,0.11476246044406,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor,COL1A1,CD44,0.0922675024302445,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,TRUE
Tumor_stroma,Tumor,COL1A1,CD44,0.142363072053331,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A1,CD44,0.111536849427732,0.03,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep2,A121573,Rep2,396,373,FALSE
