method,feature,n_patients,high_mean,low_mean,mean_difference,wilcoxon_p,burden_rho,burden_p,wilcoxon_fdr_bh,burden_fdr_bh
DoRothEA_ULM_AB,FOXO3,13,-0.0600133292285024,-0.398021454743379,0.338008125514877,0.353111234506005,0.538461538461538,0.0576344334704661,0.891605867127664,0.516767959233446
DoRothEA_ULM_AB,FOXO4,13,0.857381781002549,0.993972177824825,-0.136590396822276,0.617075077451974,-0.0604395604395604,0.844502370644968,0.944311860949233,0.980399303852205
DoRothEA_ULM_AB,FOXP1,13,0.757086364875215,0.609138113951708,0.147948250923507,0.617075077451974,-0.0879120879120879,0.775195408889122,0.944311860949233,0.980399303852205
DoRothEA_ULM_AB,GATA2,13,0.253231775301109,0.539953904720331,-0.286722129419222,0.100412493986103,-0.5,0.0818642311656944,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,GATA3,13,0.2213690796465,0.38040216455598,-0.159033084909479,0.520316800507367,0.0989010989010989,0.747868303598391,0.906068911228346,0.980399303852205
DoRothEA_ULM_AB,GLI2,13,-1.71641673399282,-1.11811734898395,-0.598299385008869,0.018416160576304,-0.510989010989011,0.0743289141440214,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,HIF1A,13,5.97486373633201,5.73021957773386,0.24464415859815,0.520316800507367,0.10989010989011,0.720809799513862,0.906068911228346,0.980399303852205
DoRothEA_ULM_AB,HNF4A,13,-0.144224633767592,-0.105297423406285,-0.0389272103613071,0.830324257655795,0.0934065934065934,0.761500022782701,0.975148256084132,0.980399303852205
DoRothEA_ULM_AB,HSF1,13,2.7388346468032,2.1438676036559,0.594967043147305,0.283976771750912,0.285714285714286,0.34400021825867,0.775179836401137,0.868600551103142
DoRothEA_ULM_AB,IRF1,13,0.389669105493408,0.771769096403503,-0.382099990910095,0.22463863892378,-0.357142857142857,0.230929862302034,0.709015704103182,0.685997532132512
DoRothEA_ULM_AB,IRF9,13,-1.17311903562166,-0.292236449746771,-0.880882585874892,0.174735823215247,-0.43956043956044,0.13286024415693,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,JUN,13,4.91522356472995,4.58059326154053,0.334630303189416,0.943056670967043,-0.126373626373626,0.680785475070949,0.992174205913243,0.980399303852205
DoRothEA_ULM_AB,JUND,13,0.892868462211855,0.613628429957892,0.279240032253962,0.943056670967043,-0.0604395604395604,0.844502370644968,0.992174205913243,0.980399303852205
DoRothEA_ULM_AB,KLF4,13,2.04493293554386,1.6370188821028,0.407914053441066,0.0741455311114068,0.527472527472528,0.0639548914835548,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,KMT2A,13,-1.76904001967816,-1.54313609799266,-0.225903921685505,0.520316800507367,-0.186813186813187,0.541123523509894,0.906068911228346,0.947166032841988
DoRothEA_ULM_AB,LEF1,13,-0.459204244837594,-0.12916184371627,-0.330042401121323,0.22463863892378,-0.384615384615385,0.194412919977486,0.709015704103182,0.685997532132512
DoRothEA_ULM_AB,MITF,13,1.65546277365789,1.30179167683092,0.353671096826971,0.0268091307155958,0.521978021978022,0.0672917119935103,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,MYB,13,1.09760896769269,1.32797016862512,-0.230361200932434,0.520316800507367,-0.43956043956044,0.13286024415693,0.906068911228346,0.685997532132512
DoRothEA_ULM_AB,MYC,13,8.04932347709728,8.39409403060443,-0.344770553507153,0.617075077451974,-0.28021978021978,0.353763635633679,0.944311860949233,0.87146651704882
DoRothEA_ULM_AB,MYCN,13,-0.191010810520817,0.169871915871228,-0.360882726392046,0.100412493986103,-0.516483516483517,0.0707490406749637,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,NFE2L2,13,1.29958290532869,1.34705758111828,-0.0474746757895903,0.943056670967043,-0.0164835164835165,0.957376175090185,0.992174205913243,0.985786910714062
DoRothEA_ULM_AB,NFIC,13,2.35806891658833,2.85786318519534,-0.499794268607006,0.0741455311114069,-0.538461538461538,0.0576344334704663,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,NFKB1,13,4.4162739885331,4.36006401662692,0.0562099719061768,1,-0.181318681318681,0.553295009283934,1,0.947166032841988
DoRothEA_ULM_AB,NFKB2,13,0.321619568346849,0.24988622981097,0.0717333385358798,0.720984861901671,0.32967032967033,0.271335054505236,0.958150934895641,0.740671365000779
DoRothEA_ULM_AB,NFYA,13,2.3282984253391,2.33690100073675,-0.00860257539764842,1,0.126373626373626,0.680785475070949,1,0.980399303852205
DoRothEA_ULM_AB,NR3C1,13,2.0184213971244,2.14047045386967,-0.122049056745272,0.520316800507367,-0.104395604395604,0.734303745287702,0.906068911228346,0.980399303852205
DoRothEA_ULM_AB,POU2F1,13,0.655224387135517,0.619109557329466,0.0361148298060504,0.520316800507367,0.406593406593407,0.167978346147896,0.906068911228346,0.685997532132512
DoRothEA_ULM_AB,PPARA,13,-0.125965132735466,0.3096791763986,-0.435644309134066,0.353111234506006,-0.236263736263736,0.437083543831181,0.891605867127664,0.947166032841988
DoRothEA_ULM_AB,PPARG,13,1.98716839190978,1.60765174283305,0.379516649076734,0.174735823215247,0.362637362637363,0.223315720292482,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,PRDM14,13,-2.57000074126082,-2.28403832216707,-0.285962419093748,0.432034892005008,0.0934065934065934,0.761500022782701,0.906068911228346,0.980399303852205
DoRothEA_ULM_AB,RARA,13,1.86253590228708,1.90386267695287,-0.0413267746657864,0.520316800507367,-0.115384615384615,0.70738987351426,0.906068911228346,0.980399303852205
DoRothEA_ULM_AB,REL,13,2.95558260589088,3.24442837016926,-0.288845764278388,0.432034892005008,-0.32967032967033,0.271335054505236,0.906068911228346,0.740671365000779
DoRothEA_ULM_AB,RELA,13,3.40479446954389,3.33719424970371,0.0676002198401822,1,-0.186813186813187,0.541123523509894,1,0.947166032841988
DoRothEA_ULM_AB,RELB,13,1.31307074777206,1.17953111924692,0.133539628525142,0.520316800507367,-0.0164835164835165,0.957376175090185,0.906068911228346,0.985786910714062
DoRothEA_ULM_AB,RFX5,13,-1.78870663799667,-1.62254597975581,-0.166160658240861,0.830324257655795,0.0714285714285714,0.816628040676086,0.975148256084132,0.980399303852205
DoRothEA_ULM_AB,RUNX1,13,-0.131834534848346,-0.0205120952439328,-0.111322439604414,0.720984861901671,-0.203296703296703,0.505314734296249,0.958150934895641,0.947166032841988
DoRothEA_ULM_AB,RUNX3,13,-0.13970368264862,0.0493295174687208,-0.189033200117341,0.720984861901671,0.0934065934065934,0.761500022782701,0.958150934895641,0.980399303852205
DoRothEA_ULM_AB,SMAD3,13,5.60599764845535,5.51184390926279,0.0941537391925653,0.830324257655795,-0.0164835164835165,0.957376175090185,0.975148256084132,0.985786910714062
DoRothEA_ULM_AB,SMAD4,13,2.45047153429203,2.23321606687766,0.217255467414369,0.720984861901671,0.0604395604395604,0.844502370644968,0.958150934895641,0.980399303852205
DoRothEA_ULM_AB,SP1,13,5.48026483032347,5.61208337945459,-0.131818549131118,0.943056670967043,0.0604395604395604,0.844502370644968,0.992174205913243,0.980399303852205
DoRothEA_ULM_AB,SP3,13,2.76051532346206,2.44065872193593,0.319856601526129,0.100412493986103,0.593406593406593,0.032524440270097,0.596568346623317,0.469281209611399
DoRothEA_ULM_AB,SPI1,13,2.37014668560852,2.17875119831474,0.191395487293777,1,-0.0824175824175824,0.788950927847518,1,0.980399303852205
DoRothEA_ULM_AB,SREBF1,13,-1.77031755052577,-1.71736733416411,-0.0529502163616584,0.830324257655795,0.00549450549450549,0.985786910714062,0.975148256084132,0.985786910714062
DoRothEA_ULM_AB,SREBF2,13,-1.23560647133066,-0.984710458758635,-0.250896012572022,0.174735823215247,-0.412087912087912,0.161751052772526,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,SRF,13,5.98266138965289,5.44929654893692,0.533364840715963,0.174735823215247,0.379120879120879,0.201406089961044,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,STAT1,13,2.30087974565203,3.01835190545465,-0.717472159802616,0.283976771750912,-0.357142857142857,0.230929862302034,0.775179836401137,0.685997532132512
DoRothEA_ULM_AB,STAT2,13,-0.906996086432694,-0.00907559430871658,-0.897920492123977,0.174735823215247,-0.39010989010989,0.187574116133838,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,STAT3,13,4.59041771894568,4.9303627094347,-0.339944990489014,0.520316800507367,-0.236263736263736,0.437083543831181,0.906068911228346,0.947166032841988
DoRothEA_ULM_AB,STAT4,13,1.47785520494427,1.50830159636496,-0.0304463914206912,0.720984861901671,-0.0494505494505495,0.872544428881149,0.958150934895641,0.985786910714062
DoRothEA_ULM_AB,STAT5A,13,-0.585265471453969,-0.382105221642903,-0.203160249811065,0.22463863892378,-0.467032967032967,0.107609140399139,0.709015704103182,0.63932489295959
DoRothEA_ULM_AB,STAT5B,13,-0.499291704894059,-0.211007189270112,-0.288284515623947,0.100412493986103,-0.516483516483517,0.0707490406749637,0.596568346623317,0.516767959233446
DoRothEA_ULM_AB,STAT6,13,3.02913513274152,2.68258692146889,0.346548211272625,0.174735823215247,0.423076923076923,0.149748541554968,0.653641412768147,0.685997532132512
DoRothEA_ULM_AB,TAL1,13,-0.171335048553712,-0.553424366924883,0.382089318371172,0.0741455311114068,0.615384615384615,0.0251671165518993,0.596568346623317,0.469281209611399
DoRothEA_ULM_AB,TCF3,13,-0.609229090707717,-0.479582416840254,-0.129646673867463,0.720984861901671,-0.247252747252747,0.415405119725538,0.958150934895641,0.947166032841988
DoRothEA_ULM_AB,TCF7L2,13,0.124799629269357,0.353658005211349,-0.228858375941992,0.283976771750912,-0.335164835164835,0.26294314035936,0.775179836401137,0.740671365000779
DoRothEA_ULM_AB,TFAP2A,13,2.0654352055308,2.07851221097669,-0.0130770054458882,0.830324257655795,-0.142857142857143,0.641516421586088,0.975148256084132,0.980399303852205
DoRothEA_ULM_AB,TFAP2C,13,1.14119690138407,0.775005391296987,0.366191510087081,0.174735823215247,0.208791208791209,0.493621819356885,0.653641412768147,0.947166032841988
