"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FAP_high_myofibroblast","FAP_high_myofibroblast","GAS6","AXL",0.0315416460733497,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Tumor_epithelial","Tumor_epithelial","EFNA4","EPHA2",0.0307339050151557,0,"EFNA4_EPHA2","EFNA4 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Tumor_epithelial","FAP_high_myofibroblast","LAMC2","ITGA1_ITGB1",0.0306695337764587,0,"LAMC2_ITGA1_ITGB1","LAMC2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","GRN","SORT1",0.0306559257074802,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"Tumor_epithelial","Tumor_epithelial","EFNB2","EPHB4",0.030239518398683,0,"EFNB2_EPHB4","EFNB2 - EPHB4","EPHB","Cell-Cell Contact","PMID: 15114347"
"Tumor_epithelial","Tumor_epithelial","EFNB2","EPHB3",0.0295433549296052,0,"EFNB2_EPHB3","EFNB2 - EPHB3","EPHB","Cell-Cell Contact","PMID: 15114347"
"FAP_high_myofibroblast","Tumor_epithelial","LAMA4","DAG1",0.0293730238330492,0,"LAMA4_DAG1","LAMA4 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","HSPG2","DAG1",0.0290602928678359,0,"HSPG2_DAG1","HSPG2 - DAG1","HSPG","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","SPP1","CD44",0.0288534218029212,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"FAP_high_myofibroblast","FAP_high_myofibroblast","SPP1","ITGAV_ITGB1",0.0284186976230396,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Tumor_epithelial","FAP_high_myofibroblast","LAMA3","ITGA1_ITGB1",0.0281431051009216,0,"LAMA3_ITGA1_ITGB1","LAMA3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
