patient,class,cell_type,cell_subtype,n_cells
SMC06,Tumor,T cells,Regulatory T cells,439
SMC06,Tumor,T cells,T follicular helper cells,5
SMC06,Tumor,T cells,T helper 17 cells,3
SMC06,Tumor,T cells,Unknown,408
SMC07,Normal,B cells,CD19+CD20+ B,289
SMC07,Normal,B cells,IgA+ Plasma,213
SMC07,Normal,B cells,IgG+ Plasma,4
SMC07,Normal,B cells,Unknown,1
SMC07,Normal,Epithelial cells,Goblet cells,21
SMC07,Normal,Epithelial cells,Intermediate,19
SMC07,Normal,Epithelial cells,Mature Enterocytes type 1,11
SMC07,Normal,Epithelial cells,Mature Enterocytes type 2,27
SMC07,Normal,Epithelial cells,Stem-like/TA,50
SMC07,Normal,Mast cells,Mast cells,3
SMC07,Normal,Myeloids,Pro-inflammatory,7
SMC07,Normal,Myeloids,SPP1+,17
SMC07,Normal,Myeloids,cDC,4
SMC07,Normal,Stromal cells,Enteric glial cells,63
SMC07,Normal,Stromal cells,Lymphatic ECs,24
SMC07,Normal,Stromal cells,Myofibroblasts,1
SMC07,Normal,Stromal cells,Pericytes,6
SMC07,Normal,Stromal cells,Smooth muscle cells,30
SMC07,Normal,Stromal cells,Stalk-like ECs,14
SMC07,Normal,Stromal cells,Stromal 1,167
SMC07,Normal,Stromal cells,Stromal 2,31
SMC07,Normal,Stromal cells,Stromal 3,118
SMC07,Normal,Stromal cells,Tip-like ECs,124
SMC07,Normal,T cells,CD4+ T cells,537
SMC07,Normal,T cells,CD8+ T cells,208
SMC07,Normal,T cells,NK cells,21
SMC07,Normal,T cells,Regulatory T cells,22
SMC07,Normal,T cells,T follicular helper cells,20
SMC07,Normal,T cells,T helper 17 cells,2
SMC07,Normal,T cells,Unknown,13
SMC07,Normal,T cells,gamma delta T cells,147
SMC07,Tumor,B cells,CD19+CD20+ B,282
SMC07,Tumor,B cells,IgA+ Plasma,106
SMC07,Tumor,B cells,IgG+ Plasma,415
SMC07,Tumor,B cells,Unknown,11
SMC07,Tumor,Epithelial cells,CMS1,8
SMC07,Tumor,Epithelial cells,CMS2,493
SMC07,Tumor,Epithelial cells,CMS3,40
SMC07,Tumor,Epithelial cells,CMS4,1
SMC07,Tumor,Mast cells,Mast cells,2
SMC07,Tumor,Myeloids,Pro-inflammatory,72
SMC07,Tumor,Myeloids,Proliferating,32
SMC07,Tumor,Myeloids,SPP1+,140
SMC07,Tumor,Myeloids,Unknown,56
SMC07,Tumor,Myeloids,cDC,32
SMC07,Tumor,Stromal cells,Enteric glial cells,1
SMC07,Tumor,Stromal cells,Lymphatic ECs,1
SMC07,Tumor,Stromal cells,Myofibroblasts,26
SMC07,Tumor,Stromal cells,Pericytes,40
SMC07,Tumor,Stromal cells,Proliferative ECs,9
SMC07,Tumor,Stromal cells,Smooth muscle cells,6
SMC07,Tumor,Stromal cells,Stalk-like ECs,37
SMC07,Tumor,Stromal cells,Stromal 1,11
SMC07,Tumor,Stromal cells,Stromal 2,27
SMC07,Tumor,Stromal cells,Stromal 3,2
SMC07,Tumor,Stromal cells,Tip-like ECs,49
SMC07,Tumor,T cells,CD4+ T cells,934
SMC07,Tumor,T cells,CD8+ T cells,486
SMC07,Tumor,T cells,NK cells,89
SMC07,Tumor,T cells,Regulatory T cells,264
SMC07,Tumor,T cells,T follicular helper cells,80
SMC07,Tumor,T cells,T helper 17 cells,146
SMC07,Tumor,T cells,Unknown,12
SMC07,Tumor,T cells,gamma delta T cells,160
SMC08,Normal,B cells,CD19+CD20+ B,432
SMC08,Normal,B cells,IgA+ Plasma,129
SMC08,Normal,B cells,IgG+ Plasma,19
SMC08,Normal,B cells,Unknown,11
SMC08,Normal,Epithelial cells,Goblet cells,3
SMC08,Normal,Epithelial cells,Intermediate,9
SMC08,Normal,Epithelial cells,Mature Enterocytes type 2,1
SMC08,Normal,Epithelial cells,Stem-like/TA,5
SMC08,Normal,Mast cells,Mast cells,41
SMC08,Normal,Myeloids,Pro-inflammatory,19
SMC08,Normal,Myeloids,SPP1+,8
SMC08,Normal,Myeloids,cDC,7
SMC08,Normal,Stromal cells,Enteric glial cells,17
SMC08,Normal,Stromal cells,Lymphatic ECs,2
SMC08,Normal,Stromal cells,Myofibroblasts,4
SMC08,Normal,Stromal cells,Pericytes,8
SMC08,Normal,Stromal cells,Smooth muscle cells,5
SMC08,Normal,Stromal cells,Stalk-like ECs,19
SMC08,Normal,Stromal cells,Stromal 1,66
SMC08,Normal,Stromal cells,Stromal 2,20
SMC08,Normal,Stromal cells,Stromal 3,42
SMC08,Normal,Stromal cells,Tip-like ECs,50
SMC08,Normal,T cells,CD4+ T cells,241
SMC08,Normal,T cells,CD8+ T cells,294
SMC08,Normal,T cells,NK cells,30
SMC08,Normal,T cells,Regulatory T cells,18
SMC08,Normal,T cells,T follicular helper cells,26
SMC08,Normal,T cells,T helper 17 cells,8
SMC08,Normal,T cells,Unknown,6
SMC08,Normal,T cells,gamma delta T cells,80
SMC08,Tumor,B cells,CD19+CD20+ B,163
SMC08,Tumor,B cells,IgG+ Plasma,129
SMC08,Tumor,B cells,Unknown,12
SMC08,Tumor,Epithelial cells,CMS1,1
SMC08,Tumor,Epithelial cells,CMS2,316
SMC08,Tumor,Epithelial cells,CMS3,3
SMC08,Tumor,Myeloids,Pro-inflammatory,126
SMC08,Tumor,Myeloids,Proliferating,1
SMC08,Tumor,Myeloids,SPP1+,150
SMC08,Tumor,Myeloids,Unknown,21
SMC08,Tumor,Myeloids,cDC,12
SMC08,Tumor,Stromal cells,Myofibroblasts,120
SMC08,Tumor,Stromal cells,Pericytes,7
SMC08,Tumor,Stromal cells,Proliferative ECs,2
SMC08,Tumor,Stromal cells,Smooth muscle cells,1
SMC08,Tumor,Stromal cells,Stalk-like ECs,17
SMC08,Tumor,Stromal cells,Stromal 1,4
SMC08,Tumor,Stromal cells,Stromal 2,2
SMC08,Tumor,Stromal cells,Tip-like ECs,5
SMC08,Tumor,T cells,CD4+ T cells,147
SMC08,Tumor,T cells,CD8+ T cells,264
SMC08,Tumor,T cells,NK cells,38
SMC08,Tumor,T cells,Regulatory T cells,84
SMC08,Tumor,T cells,T follicular helper cells,51
SMC08,Tumor,T cells,T helper 17 cells,219
SMC08,Tumor,T cells,Unknown,194
SMC09,Normal,B cells,CD19+CD20+ B,26
SMC09,Normal,B cells,IgA+ Plasma,351
SMC09,Normal,B cells,IgG+ Plasma,1
SMC09,Normal,B cells,Unknown,4
SMC09,Normal,Epithelial cells,Goblet cells,30
SMC09,Normal,Epithelial cells,Intermediate,17
