population,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
epithelial_tumor,EPCAM,17469,2.3608348446472234,2.4810127405692857,16516,94.54462190165435
epithelial_tumor,VIM,17469,0.09158715732120515,0.0,3035,17.37363329326235
epithelial_tumor,ZEB1,17469,0.0035277970820595567,0.0,142,0.8128685099318793
epithelial_tumor,SNAI1,17469,0.06245222673448074,0.0,2304,13.189077794951057
epithelial_tumor,SNAI2,17469,0.001670208283793392,0.0,61,0.34918999370313125
epithelial_tumor,TWIST1,17469,0.0008567661899859523,0.0,33,0.1889060621672677
myofibroblast_all,FAP,1155,0.7761635988240687,0.8250747236024935,793,68.65800865800867
myofibroblast_all,COL1A1,1155,4.3709988984144355,4.696691432016339,1119,96.88311688311688
myofibroblast_all,COL1A2,1155,4.149074694697342,4.400310836168771,1136,98.35497835497836
myofibroblast_all,COL3A1,1155,4.157807084473553,4.406373576783539,1135,98.26839826839827
myofibroblast_all,FN1,1155,2.2854815342890693,2.4014858832005728,1038,89.87012987012987
myofibroblast_all,POSTN,1155,2.087648998646703,2.2893597993195693,976,84.5021645021645
myofibroblast_all,ACTA2,1155,1.5707704542270275,1.131957896755409,779,67.44588744588744
myofibroblast_all,TAGLN,1155,2.5166872144137664,2.7079879810922347,991,85.8008658008658
myofibroblast_all,CXCL12,1155,0.41311532663265177,0.0,405,35.064935064935064
myofibroblast_all,CCL2,1155,0.8419373799532535,0.3308211076497732,591,51.16883116883116
myofibroblast_all,CD74,1155,0.5585492488255003,0.4916682445298861,657,56.88311688311688
myofibroblast_all,HLA-DRA,1155,0.34512628461940575,0.0,489,42.33766233766234
myofibroblast_all,CLDN1,1155,0.017170399955777592,0.0,33,2.857142857142857
myofibroblast_all,CLDN2,1155,0.003896852749365052,0.0,6,0.5194805194805194
myofibroblast_all,CLDN3,1155,0.3046399485323813,0.0,408,35.324675324675326
myofibroblast_all,CLDN4,1155,0.46954898196553563,0.0,546,47.27272727272727
myofibroblast_all,CLDN7,1155,0.06439543531023431,0.0,130,11.255411255411255
myofibroblast_all,CLDN18,1155,0.0020239085643817467,0.0,5,0.4329004329004329
myofibroblast_all,OCLN,1155,0.02563770387450009,0.0,50,4.329004329004329
myofibroblast_all,TJP1,1155,0.13926505630331812,0.0,252,21.818181818181817
myofibroblast_all,CDH1,1155,0.025381457783193017,0.0,52,4.5021645021645025
myofibroblast_all,EPCAM,1155,0.18819923863933122,0.0,300,25.97402597402597
myofibroblast_all,VIM,1155,3.1055639771853896,3.1645924167226505,1141,98.7878787878788
myofibroblast_all,ZEB1,1155,0.2628296921108253,0.0,423,36.62337662337662
myofibroblast_all,SNAI1,1155,0.24016754277693664,0.0,336,29.09090909090909
myofibroblast_all,SNAI2,1155,0.45029525527926123,0.0,546,47.27272727272727
myofibroblast_all,TWIST1,1155,0.40009528751729784,0.0,505,43.722943722943725
myofibroblast_tumor,FAP,1146,0.782259124469284,0.830806494461658,793,69.19720767888307
myofibroblast_tumor,COL1A1,1146,4.399786698272326,4.705159947385652,1117,97.4694589877836
myofibroblast_tumor,COL1A2,1146,4.176125156244925,4.404704375836859,1133,98.86561954624781
myofibroblast_tumor,COL3A1,1146,4.1776080622036424,4.417408410809936,1129,98.51657940663176
myofibroblast_tumor,FN1,1146,2.301506810330739,2.4116452524489804,1037,90.48865619546248
myofibroblast_tumor,POSTN,1146,2.104044147850735,2.3064514451768248,976,85.16579406631763
myofibroblast_tumor,ACTA2,1146,1.5551890742976524,1.1179690988387496,771,67.27748691099477
myofibroblast_tumor,TAGLN,1146,2.513978682048393,2.698368107778215,985,85.95113438045375
myofibroblast_tumor,CXCL12,1146,0.41076346114735746,0.0,402,35.07853403141361
myofibroblast_tumor,CCL2,1146,0.8391845581404102,0.3467571734392476,588,51.30890052356021
myofibroblast_tumor,CD74,1146,0.5594716464922573,0.49493490479185265,655,57.15532286212914
myofibroblast_tumor,HLA-DRA,1146,0.34783670046720216,0.0,489,42.67015706806283
myofibroblast_tumor,CLDN1,1146,0.01730524602872872,0.0,33,2.8795811518324608
myofibroblast_tumor,CLDN2,1146,0.003927456304988338,0.0,6,0.5235602094240838
myofibroblast_tumor,CLDN3,1146,0.3070324088611697,0.0,408,35.602094240837694
myofibroblast_tumor,CLDN4,1146,0.4732365394155266,0.0,546,47.64397905759162
myofibroblast_tumor,CLDN7,1146,0.06490115862418903,0.0,130,11.343804537521814
myofibroblast_tumor,CLDN18,1146,0.00203980313425909,0.0,5,0.4363001745200698
myofibroblast_tumor,OCLN,1146,0.02583904709864538,0.0,50,4.363001745200698
myofibroblast_tumor,TJP1,1146,0.1385813770532909,0.0,251,21.902268760907504
myofibroblast_tumor,CDH1,1146,0.025580788603479874,0.0,52,4.537521815008725
myofibroblast_tumor,EPCAM,1146,0.18967724313126316,0.0,300,26.17801047120419
myofibroblast_tumor,VIM,1146,3.1054449228575915,3.1642661572187842,1132,98.77835951134381
myofibroblast_tumor,ZEB1,1146,0.26489379964049153,0.0,423,36.910994764397905
myofibroblast_tumor,SNAI1,1146,0.24205367531183405,0.0,336,29.31937172774869
myofibroblast_tumor,SNAI2,1146,0.451605573804321,0.0,545,47.55671902268761
myofibroblast_tumor,TWIST1,1146,0.40323739710513,0.0,505,44.06631762652705
